start_date,neparea_km2,neparea_perc,eezarea_km2,eezarea_perc,nsbarea_km2,nsbarea_perc,ssbarea_km2,ssbarea_perc,oparea_km2,oparea_perc
2023-01-01,8938470,43.4,0,0,0,0,0,0,0,0
2023-01-02,8739540,42.4,0,0,0,0,0,0,0,0
2023-01-03,8451230,41,0,0,0,0,0,0,0,0
2023-01-04,8079240,39.2,0,0,0,0,0,0,0,0
2023-01-05,7873300,38.2,0,0,0,0,0,0,0,0
2023-01-06,8014580,38.9,1010,0.2,0,0,0,0,0,0
2023-01-07,7925000,38.5,0,0,0,0,0,0,0,0
2023-01-08,8173290,39.7,0,0,0,0,0,0,0,0
2023-01-09,8390720,40.8,1010,0.2,0,0,0,0,0,0
2023-01-10,8380070,40.7,500,0.1,0,0,0,0,0,0
2023-01-11,7989250,38.8,0,0,0,0,0,0,0,0
2023-01-12,7632800,37.1,0,0,0,0,0,0,0,0
2023-01-13,7539700,36.6,0,0,0,0,0,0,0,0
2023-01-14,7525760,36.6,0,0,0,0,0,0,0,0
2023-01-15,7329020,35.6,0,0,0,0,0,0,0,0
2023-01-16,7097270,34.5,0,0,0,0,0,0,0,0
2023-01-17,7168350,34.8,0,0,0,0,0,0,0,0
2023-01-18,7314440,35.5,0,0,0,0,0,0,0,0
2023-01-19,7217530,35.1,0,0,0,0,0,0,0,0
2023-01-20,7204880,35,0,0,0,0,0,0,0,0
2023-01-21,7014610,34.1,0,0,0,0,0,0,0,0
2023-01-22,6725090,32.7,0,0,0,0,0,0,0,0
2023-01-23,6769260,32.9,0,0,0,0,0,0,0,0
2023-01-24,6813960,33.1,0,0,0,0,0,0,0,0
2023-01-25,6646450,32.3,0,0,0,0,0,0,0,0
2023-01-26,6683290,32.5,0,0,0,0,0,0,0,0
2023-01-27,6640590,32.3,0,0,0,0,0,0,0,0
2023-01-28,6592070,32,0,0,0,0,0,0,0,0
2023-01-29,6650440,32.3,0,0,0,0,0,0,0,0
2023-01-30,7060310,34.3,0,0,0,0,0,0,0,0
2023-01-31,7133600,34.6,0,0,0,0,0,0,0,0
2023-02-01,7193650,34.9,0,0,0,0,0,0,0,0
2023-02-02,6947410,33.7,0,0,0,0,0,0,0,0
2023-02-03,6793320,33,2040,0.5,0,0,1020,3.7,1020,0.3
2023-02-04,6754470,32.8,0,0,0,0,0,0,0,0
2023-02-05,6608690,32.1,0,0,0,0,0,0,0,0
2023-02-06,6570600,31.9,0,0,0,0,0,0,0,0
2023-02-07,6549080,31.8,0,0,0,0,0,0,0,0
2023-02-08,6382460,31,0,0,0,0,0,0,0,0
2023-02-09,6086120,29.6,0,0,0,0,0,0,0,0
2023-02-10,5921050,28.8,1010,0.2,0,0,0,0,0,0
2023-02-11,5962890,29,0,0,0,0,0,0,0,0
2023-02-12,5849060,28.4,0,0,0,0,0,0,0,0
2023-02-13,5548490,26.9,0,0,0,0,0,0,0,0
2023-02-14,5377680,26.1,0,0,0,0,0,0,0,0
2023-02-15,5409050,26.3,0,0,0,0,0,0,0,0
2023-02-16,5327440,25.9,0,0,0,0,0,0,0,0
2023-02-17,5491770,26.7,0,0,0,0,0,0,0,0
2023-02-18,6388580,31,0,0,0,0,0,0,0,0
2023-02-19,6954190,33.8,0,0,0,0,0,0,0,0
2023-02-20,6922370,33.6,0,0,0,0,0,0,0,0
2023-02-21,6856630,33.3,0,0,0,0,0,0,0,0
2023-02-22,6568940,31.9,0,0,0,0,0,0,0,0
2023-02-23,6467630,31.4,0,0,0,0,0,0,0,0
2023-02-24,6554750,31.8,0,0,0,0,0,0,0,0
2023-02-25,6447490,31.3,0,0,0,0,0,0,0,0
2023-02-26,6285720,30.5,0,0,0,0,0,0,0,0
2023-02-27,6117870,29.7,0,0,0,0,0,0,0,0
2023-02-28,6156310,29.9,0,0,0,0,0,0,0,0
2023-03-01,6065550,29.5,0,0,0,0,0,0,0,0
2023-03-02,5815480,28.2,0,0,0,0,0,0,0,0
2023-03-03,5646190,27.4,0,0,0,0,0,0,0,0
2023-03-04,5820060,28.3,0,0,0,0,0,0,0,0
2023-03-05,5680570,27.6,0,0,0,0,0,0,0,0
2023-03-06,5450620,26.5,0,0,0,0,0,0,0,0
2023-03-07,5317910,25.8,0,0,0,0,0,0,0,0
2023-03-08,5092290,24.7,0,0,0,0,0,0,0,0
2023-03-09,5071370,24.6,0,0,0,0,0,0,0,0
2023-03-10,4970470,24.1,0,0,0,0,0,0,0,0
2023-03-11,4933040,24,0,0,0,0,0,0,0,0
2023-03-12,5243610,25.5,0,0,0,0,0,0,0,0
