start_date,neparea_km2,neparea_perc,eezarea_km2,eezarea_perc,nsbarea_km2,nsbarea_perc,ssbarea_km2,ssbarea_perc,opbarea_km2,opbarea_perc
2024-01-01,3246890,15.8,111380,25.3,46550,50.3,26930,98.2,31880,10.2
2024-01-02,2980880,14.5,126640,28.8,54000,58.3,27430,100,39190,12.5
2024-01-03,2742950,13.3,146330,33.3,67620,73,27430,100,45250,14.4
2024-01-04,2627840,12.8,161160,36.7,73380,79.2,27430,100,54330,17.3
2024-01-05,2651670,12.9,149970,34.1,73080,78.9,26920,98.2,43950,14
2024-01-06,2898160,14.1,142260,32.4,70750,76.4,25380,92.5,40100,12.8
2024-01-07,3064790,14.9,138040,31.4,67520,72.9,21330,77.8,43170,13.8
2024-01-08,3012260,14.6,132170,30.1,63320,68.4,20810,75.9,42020,13.4
2024-01-09,2893390,14.1,91430,20.8,44650,48.2,24360,88.8,16900,5.4
2024-01-10,2719330,13.2,86410,19.7,44240,47.8,23860,87,12290,3.9
2024-01-11,2737200,13.3,72590,16.5,39020,42.1,18320,66.8,9740,3.1
2024-01-12,2670400,13,60030,13.7,35960,38.8,12240,44.6,7300,2.3
2024-01-13,2645350,12.8,25370,5.8,18060,19.5,510,1.9,4780,1.5
2024-01-14,2563860,12.5,6320,1.4,5800,6.3,510,1.9,0,0
2024-01-15,2502340,12.2,510,0.1,0,0,510,1.9,0,0
2024-01-16,2860820,13.9,0,0,0,0,0,0,0,0
2024-01-17,3343110,16.2,0,0,0,0,0,0,0,0
2024-01-18,3846020,18.7,0,0,0,0,0,0,0,0
2024-01-19,4018940,19.5,0,0,0,0,0,0,0,0
2024-01-20,4250200,20.6,0,0,0,0,0,0,0,0
2024-01-21,4404410,21.4,940,0.2,940,1,0,0,0,0
2024-01-22,4704390,22.8,5670,1.3,5670,6.1,0,0,0,0
2024-01-23,4720180,22.9,8510,1.9,6610,7.1,0,0,1900,0.6
2024-01-24,4268350,20.7,8610,2,8100,8.7,510,1.9,0,0
2024-01-25,3884410,18.9,11450,2.6,11450,12.4,0,0,0,0
2024-01-26,3519090,17.1,7110,1.6,7110,7.7,0,0,0,0
2024-01-27,3502800,17,17190,3.9,11350,12.3,0,0,5840,1.9
2024-01-28,3637040,17.7,17810,4.1,12770,13.8,510,1.9,4530,1.4
2024-01-29,3722790,18.1,32490,7.4,25290,27.3,510,1.9,6190,2
2024-01-30,3543860,17.2,60940,13.9,42370,45.8,1030,3.7,17030,5.4
2024-01-31,3301580,16,88420,20.1,52760,57,3600,13.1,27550,8.8
2024-02-01,3054120,14.8,112890,25.7,68710,74.2,7690,28,30980,9.9
2024-02-02,2928620,14.2,152320,34.7,72630,78.4,25390,92.6,48780,15.6
2024-02-03,2729310,13.3,172910,39.3,74140,80.1,22880,83.4,69870,22.3
2024-02-04,2484380,12.1,164370,37.4,68940,74.4,22890,83.5,67020,21.4
2024-02-05,2344910,11.4,149860,34.1,66470,71.8,23910,87.2,57470,18.3
2024-02-06,2519810,12.2,155630,35.4,66020,71.3,20370,74.2,68750,21.9
2024-02-07,2300850,11.2,138580,31.5,42880,46.3,23410,85.3,71790,22.9
2024-02-08,2469100,12,124350,28.3,27480,29.7,22910,83.5,73980,23.6
2024-02-09,2660390,12.9,63510,14.4,12610,13.6,15340,55.9,35570,11.3
2024-02-10,2600690,12.6,51570,11.7,4810,5.2,14320,52.2,32460,10.4
2024-02-11,2697670,13.1,101840,23.2,16550,17.9,24880,90.7,60430,19.3
2024-02-12,2753460,13.4,110880,25.2,18960,20.5,21830,79.6,70110,22.4
2024-02-13,2744720,13.3,133730,30.4,32550,35.1,21820,79.5,79390,25.3
2024-02-14,2902640,14.1,163650,37.2,52410,56.6,17260,62.9,94000,30
2024-02-15,2791990,13.6,185680,42.2,70430,76.1,11160,40.7,104090,33.2
2024-02-16,2374740,11.5,142600,32.4,54370,58.7,10640,38.8,77600,24.8
2024-02-17,2071030,10.1,84320,19.2,33270,35.9,14210,51.8,36850,11.8
2024-02-18,2005890,9.7,25260,5.7,5630,6.1,2520,9.2,17130,5.5
2024-02-19,2056610,10,51380,11.7,19710,21.3,2010,7.3,29670,9.5
2024-02-20,2038980,9.9,79240,18,34420,37.2,7120,26,37720,12
2024-02-21,2083240,10.1,77020,17.5,34920,37.7,6060,22.1,36050,11.5
2024-02-22,2289690,11.1,97360,22.2,34820,37.6,14240,51.9,47790,15.2
2024-02-23,2539800,12.3,97520,22.2,36230,39.1,12200,44.5,49110,15.7
2024-02-24,2824970,13.7,98810,22.5,37840,40.9,10140,37,50850,16.2
2024-02-25,3000650,14.6,107310,24.4,43090,46.5,16280,59.4,47440,15.1
2024-02-26,2643500,12.8,90570,20.6,35700,38.5,15280,55.7,39090,12.5
2024-02-27,2449210,11.9,34840,7.9,9200,9.9,10200,37.2,14440,4.6
2024-02-28,2374080,11.5,20540,4.7,6850,7.4,3570,13,9620,3.1
2024-02-29,2561010,12.4,14650,3.3,5420,5.8,510,1.9,8720,2.8
2024-03-01,2655650,12.9,12270,2.8,5910,6.4,0,0,6370,2
2024-03-02,2631510,12.8,6760,1.5,3920,4.2,0,0,2840,0.9
2024-03-03,2893840,14.1,20550,4.7,6870,7.4,1540,5.6,12150,3.9
2024-03-04,3243690,15.8,20090,4.6,5400,5.8,1540,5.6,13150,4.2
2024-03-05,3488690,16.9,6570,1.5,500,0.5,0,0,6080,1.9
2024-03-06,3293280,16,4110,0.9,0,0,0,0,4110,1.3
2024-03-07,2947770,14.3,1950,0.4,0,0,0,0,1950,0.6
2024-03-08,2874410,14,0,0,0,0,0,0,0,0
2024-03-09,2975450,14.5,0,0,0,0,0,0,0,0
2024-03-10,3164670,15.4,0,0,0,0,0,0,0,0
2024-03-11,3322670,16.1,0,0,0,0,0,0,0,0
2024-03-12,3291790,16,0,0,0,0,0,0,0,0
2024-03-13,3078180,15,0,0,0,0,0,0,0,0
2024-03-14,2777340,13.5,0,0,0,0,0,0,0,0
2024-03-15,2518260,12.2,6430,1.5,2950,3.2,1030,3.7,2460,0.8
2024-03-16,2570180,12.5,78400,17.8,29030,31.3,20360,74.2,29010,9.3
2024-03-17,2323240,11.3,88430,20.1,36840,39.8,24920,90.9,22660,7.2
2024-03-18,1984110,9.6,82420,18.8,32950,35.6,24400,89,20040,6.4
2024-03-19,1974480,9.6,77530,17.6,30520,33,24920,90.8,17070,5.4
2024-03-20,2260320,11,94000,21.4,39870,43,21410,78.1,27700,8.8
2024-03-21,2472680,12,117880,26.8,60660,65.5,14260,52,36930,11.8
2024-03-22,2673630,13,147360,33.5,78120,84.4,10210,37.2,54020,17.2
2024-03-23,2691320,13.1,202330,46,88860,95.9,20300,74,87160,27.8
2024-03-24,2477420,12,209150,47.6,87950,95,23850,86.9,91330,29.1
2024-03-25,2538460,12.3,211360,48.1,84720,91.5,24360,88.8,96260,30.7
2024-03-26,2547500,12.4,211790,48.2,81540,88,25380,92.5,98850,31.5
2024-03-27,2325350,11.3,204160,46.5,76380,82.5,25380,92.5,96380,30.7
2024-03-28,2363060,11.5,194080,44.2,77320,83.5,25890,94.4,87380,27.9
2024-03-29,2533800,12.3,191570,43.6,82840,89.4,24860,90.6,81380,26
2024-03-30,2734040,13.3,143870,32.7,63400,68.5,20790,75.8,59700,19
2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-01,2464600,12,94390,21.5,43930,47.4,16730,61,33740,10.8
2024-04-02,2430820,11.8,98140,22.3,43760,47.2,16770,61.1,37630,12
2024-04-03,2413570,11.7,104250,23.7,41440,44.7,18290,66.7,44530,14.2
2024-04-04,2245830,10.9,95470,21.7,33890,36.6,19810,72.2,41780,13.3
2024-04-05,2018510,9.8,61280,13.9,19780,21.4,20310,74.1,21200,6.8
2024-04-06,2060720,10,12040,2.7,0,0,6640,24.2,5410,1.7
2024-04-07,2320930,11.3,1980,0.5,0,0,0,0,1980,0.6
