"","STN_ID","date","SSTP","source","wmo_id","buoy_name","buoy_type","lat","lon"
"1","C46132",1994-05-06,10.4,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"2","C46132",1994-05-07,10.3,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"3","C46132",1994-05-09,10.9,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"4","C46132",1994-06-01,11.8,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"5","C46132",1994-06-13,11.6,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"6","C46132",1994-06-30,13.85,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"7","C46132",1994-07-25,12.55,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"8","C46132",1994-07-31,15.3,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"9","C46132",1994-08-03,15.0333333333333,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"10","C46132",1994-08-05,15.1,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"11","C46132",1994-08-06,15.5,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"12","C46132",1994-08-26,15.5,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"13","C46132",1994-08-29,16.1,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"14","C46132",1994-09-05,15.1,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"15","C46132",1994-09-06,15.2,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"16","C46132",1994-09-07,15.85,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"17","C46132",1994-09-08,16.0285714285714,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"18","C46132",1994-09-09,16.0142857142857,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"19","C46132",1994-09-10,16.6526315789474,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"20","C46132",1994-09-11,16.5454545454545,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"21","C46132",1994-09-12,16.0714285714286,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"22","C46132",1994-09-13,16.2444444444444,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"23","C46132",1994-09-14,16.3947368421053,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"24","C46132",1994-09-15,16.4105263157895,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"25","C46132",1994-09-16,16.4066666666667,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"26","C46132",1994-09-17,16.4875,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"27","C46132",1994-09-18,16.7578947368421,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"28","C46132",1994-09-19,16.8,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"29","C46132",1994-09-20,16.2952380952381,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"30","C46132",1994-09-21,15.0954545454545,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"31","C46132",1994-09-22,14.4608695652174,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"32","C46132",1994-09-23,14.604347826087,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"33","C46132",1994-09-24,14.8333333333333,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"34","C46132",1994-09-25,14.5541666666667,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"35","C46132",1994-09-26,14.3,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"36","C46132",1994-09-27,14.5214285714286,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"37","C46132",1994-09-28,14.075,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"38","C46132",1994-09-29,13.495652173913,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"39","C46132",1994-09-30,15.0727272727273,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"40","C46132",1994-10-01,15.2954545454545,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"41","C46132",1994-10-02,14.5136363636364,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"42","C46132",1994-10-03,15.4045454545455,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"43","C46132",1994-10-04,15.5227272727273,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"44","C46132",1994-10-05,15.1727272727273,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"45","C46132",1994-10-06,12.4368421052632,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"46","C46132",1994-10-07,13.5090909090909,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"47","C46132",1994-10-08,14.36,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"48","C46132",1994-10-09,14.4047619047619,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"49","C46132",1994-10-10,14.105,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"50","C46132",1994-10-11,13.935,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"51","C46132",1994-10-12,13.9277777777778,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"52","C46132",1994-10-13,13.995652173913,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"53","C46132",1994-10-14,13.615,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"54","C46132",1994-10-15,13.3952380952381,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"55","C46132",1994-10-16,13.3761904761905,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"56","C46132",1994-10-17,13.3652173913043,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"57","C46132",1994-10-18,13.195,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"58","C46132",1994-10-19,13.095652173913,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"59","C46132",1994-10-20,13.1176470588235,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"60","C46132",1994-10-21,13.0066666666667,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"61","C46132",1994-10-22,12.9333333333333,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"62","C46132",1994-10-23,12.8608695652174,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"63","C46132",1994-10-24,12.6428571428571,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"64","C46132",1994-10-25,12.4214285714286,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"65","C46132",1994-10-26,12.9777777777778,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"66","C46132",1994-10-27,13.015,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"67","C46132",1994-10-28,13.1,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"68","C46132",1994-10-29,13.1454545454545,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"69","C46132",1994-10-30,12.98125,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
"70","C46132",1994-10-31,12.7454545454545,"DFO_MEDS","46132","S. Brooks","3 metre discus",49.73,-127.9167
