"year","Date","STN_ID","SSTP","lat","lon","source"
1992,1992-03-13,"C46146 Halibut Bank",9.28,49.34,-123.727,"DFO_MEDS"
1992,1992-03-14,"C46146 Halibut Bank",9.287,49.34,-123.727,"DFO_MEDS"
1992,1992-03-15,"C46146 Halibut Bank",9.291,49.34,-123.727,"DFO_MEDS"
1992,1992-03-16,"C46146 Halibut Bank",9.517,49.34,-123.727,"DFO_MEDS"
1992,1992-03-17,"C46146 Halibut Bank",9.833,49.34,-123.727,"DFO_MEDS"
1992,1992-03-18,"C46146 Halibut Bank",9.675,49.34,-123.727,"DFO_MEDS"
1992,1992-03-19,"C46146 Halibut Bank",9.579,49.34,-123.727,"DFO_MEDS"
1992,1992-03-20,"C46146 Halibut Bank",9.794,49.34,-123.727,"DFO_MEDS"
1992,1992-03-21,"C46146 Halibut Bank",9.921,49.34,-123.727,"DFO_MEDS"
1992,1992-03-22,"C46146 Halibut Bank",10.279,49.34,-123.727,"DFO_MEDS"
1992,1992-03-23,"C46146 Halibut Bank",10.675,49.34,-123.727,"DFO_MEDS"
1992,1992-03-24,"C46146 Halibut Bank",10.842,49.34,-123.727,"DFO_MEDS"
1992,1992-03-25,"C46146 Halibut Bank",10.665,49.34,-123.727,"DFO_MEDS"
1992,1992-03-26,"C46146 Halibut Bank",10.771,49.34,-123.727,"DFO_MEDS"
1992,1992-03-27,"C46146 Halibut Bank",9.296,49.34,-123.727,"DFO_MEDS"
1992,1992-03-28,"C46146 Halibut Bank",8.421,49.34,-123.727,"DFO_MEDS"
1992,1992-03-29,"C46146 Halibut Bank",8.912,49.34,-123.727,"DFO_MEDS"
1992,1992-03-30,"C46146 Halibut Bank",9.704,49.34,-123.727,"DFO_MEDS"
1992,1992-03-31,"C46146 Halibut Bank",9.975,49.34,-123.727,"DFO_MEDS"
1992,1992-04-01,"C46146 Halibut Bank",10.468,49.34,-123.727,"DFO_MEDS"
1992,1992-04-02,"C46146 Halibut Bank",10.963,49.34,-123.727,"DFO_MEDS"
1992,1992-04-03,"C46146 Halibut Bank",10.675,49.34,-123.727,"DFO_MEDS"
1992,1992-04-04,"C46146 Halibut Bank",10.517,49.34,-123.727,"DFO_MEDS"
1992,1992-04-05,"C46146 Halibut Bank",9.904,49.34,-123.727,"DFO_MEDS"
1992,1992-04-06,"C46146 Halibut Bank",9.818,49.34,-123.727,"DFO_MEDS"
1992,1992-04-07,"C46146 Halibut Bank",9.763,49.34,-123.727,"DFO_MEDS"
1992,1992-04-08,"C46146 Halibut Bank",9.821,49.34,-123.727,"DFO_MEDS"
1992,1992-04-09,"C46146 Halibut Bank",10.008,49.34,-123.727,"DFO_MEDS"
1992,1992-04-10,"C46146 Halibut Bank",10.483,49.34,-123.727,"DFO_MEDS"
1992,1992-04-11,"C46146 Halibut Bank",10.435,49.34,-123.727,"DFO_MEDS"
1992,1992-04-12,"C46146 Halibut Bank",10.685,49.34,-123.727,"DFO_MEDS"
1992,1992-04-13,"C46146 Halibut Bank",10.76,49.34,-123.727,"DFO_MEDS"
1992,1992-04-14,"C46146 Halibut Bank",10.917,49.34,-123.727,"DFO_MEDS"
1992,1992-04-15,"C46146 Halibut Bank",11.096,49.34,-123.727,"DFO_MEDS"
1992,1992-04-16,"C46146 Halibut Bank",10.333,49.34,-123.727,"DFO_MEDS"
1992,1992-04-17,"C46146 Halibut Bank",10,49.34,-123.727,"DFO_MEDS"
