"year","Date","STN_ID","SSTP","lat","lon","source"
1988,1988-11-22,"C46181 Nanakwa Shoal",6.4,53.83,-128.8317,"DFO_MEDS"
1988,1988-11-23,"C46181 Nanakwa Shoal",6.483,53.83,-128.8317,"DFO_MEDS"
1988,1988-11-24,"C46181 Nanakwa Shoal",5.971,53.83,-128.8317,"DFO_MEDS"
1988,1988-11-25,"C46181 Nanakwa Shoal",5.925,53.83,-128.8317,"DFO_MEDS"
1988,1988-11-26,"C46181 Nanakwa Shoal",5.771,53.83,-128.8317,"DFO_MEDS"
1988,1988-11-27,"C46181 Nanakwa Shoal",5.857,53.83,-128.8317,"DFO_MEDS"
1988,1988-11-28,"C46181 Nanakwa Shoal",7.033,53.83,-128.8317,"DFO_MEDS"
1988,1988-11-29,"C46181 Nanakwa Shoal",6.76,53.83,-128.8317,"DFO_MEDS"
1988,1988-11-30,"C46181 Nanakwa Shoal",6.557,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-01,"C46181 Nanakwa Shoal",6.475,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-02,"C46181 Nanakwa Shoal",4.583,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-03,"C46181 Nanakwa Shoal",4.8,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-04,"C46181 Nanakwa Shoal",4.8,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-05,"C46181 Nanakwa Shoal",3.25,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-06,"C46181 Nanakwa Shoal",5.013,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-07,"C46181 Nanakwa Shoal",6.211,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-08,"C46181 Nanakwa Shoal",6.325,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-09,"C46181 Nanakwa Shoal",4.61,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-10,"C46181 Nanakwa Shoal",4.846,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-11,"C46181 Nanakwa Shoal",4.633,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-12,"C46181 Nanakwa Shoal",4.553,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-13,"C46181 Nanakwa Shoal",4.825,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-14,"C46181 Nanakwa Shoal",4.188,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-15,"C46181 Nanakwa Shoal",3.529,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-16,"C46181 Nanakwa Shoal",4.129,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-17,"C46181 Nanakwa Shoal",4.95,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-18,"C46181 Nanakwa Shoal",4.683,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-19,"C46181 Nanakwa Shoal",4.37,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-20,"C46181 Nanakwa Shoal",4.825,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-21,"C46181 Nanakwa Shoal",6.76,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-22,"C46181 Nanakwa Shoal",7.033,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-23,"C46181 Nanakwa Shoal",6.271,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-24,"C46181 Nanakwa Shoal",6.529,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-25,"C46181 Nanakwa Shoal",7.322,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-26,"C46181 Nanakwa Shoal",6.673,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-27,"C46181 Nanakwa Shoal",6.69,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-28,"C46181 Nanakwa Shoal",5.9,53.83,-128.8317,"DFO_MEDS"
1988,1988-12-29,"C46181 Nanakwa Shoal",6.586,53.83,-128.8317,"DFO_MEDS"
