"year","Date","STN_ID","SSTP","lat","lon","source"
1988,1988-11-22,"C46206 La Perouse Bank",10.9,48.835,-125.9983,"DFO_MEDS"
1988,1988-11-23,"C46206 La Perouse Bank",10.361,48.835,-125.9983,"DFO_MEDS"
1988,1988-11-24,"C46206 La Perouse Bank",10.276,48.835,-125.9983,"DFO_MEDS"
1988,1988-11-25,"C46206 La Perouse Bank",10.422,48.835,-125.9983,"DFO_MEDS"
1988,1988-11-26,"C46206 La Perouse Bank",9.964,48.835,-125.9983,"DFO_MEDS"
1988,1988-11-27,"C46206 La Perouse Bank",10.591,48.835,-125.9983,"DFO_MEDS"
1988,1988-11-28,"C46206 La Perouse Bank",10.7,48.835,-125.9983,"DFO_MEDS"
1988,1988-11-29,"C46206 La Perouse Bank",10.7,48.835,-125.9983,"DFO_MEDS"
1988,1988-11-30,"C46206 La Perouse Bank",10.762,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-01,"C46206 La Perouse Bank",10.773,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-02,"C46206 La Perouse Bank",10.586,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-03,"C46206 La Perouse Bank",10.9,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-04,"C46206 La Perouse Bank",10.411,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-05,"C46206 La Perouse Bank",10.145,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-06,"C46206 La Perouse Bank",10.245,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-07,"C46206 La Perouse Bank",10.155,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-08,"C46206 La Perouse Bank",10.064,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-09,"C46206 La Perouse Bank",10.17,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-10,"C46206 La Perouse Bank",10.137,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-11,"C46206 La Perouse Bank",10.071,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-12,"C46206 La Perouse Bank",10.112,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-13,"C46206 La Perouse Bank",10.129,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-14,"C46206 La Perouse Bank",9.939,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-15,"C46206 La Perouse Bank",9.717,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-16,"C46206 La Perouse Bank",9.557,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-17,"C46206 La Perouse Bank",9.57,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-18,"C46206 La Perouse Bank",9.729,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-19,"C46206 La Perouse Bank",9.529,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-20,"C46206 La Perouse Bank",9.161,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-21,"C46206 La Perouse Bank",9.075,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-22,"C46206 La Perouse Bank",9.325,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-23,"C46206 La Perouse Bank",9.125,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-24,"C46206 La Perouse Bank",8.646,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-25,"C46206 La Perouse Bank",8.458,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-26,"C46206 La Perouse Bank",8.446,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-27,"C46206 La Perouse Bank",8.7,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-28,"C46206 La Perouse Bank",8.883,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-29,"C46206 La Perouse Bank",8.729,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-30,"C46206 La Perouse Bank",8.654,48.835,-125.9983,"DFO_MEDS"
1988,1988-12-31,"C46206 La Perouse Bank",8.625,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-01,"C46206 La Perouse Bank",8.542,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-02,"C46206 La Perouse Bank",8.333,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-03,"C46206 La Perouse Bank",8.68,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-04,"C46206 La Perouse Bank",8.6,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-05,"C46206 La Perouse Bank",8.45,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-06,"C46206 La Perouse Bank",8.425,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-07,"C46206 La Perouse Bank",8.154,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-08,"C46206 La Perouse Bank",8.662,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-09,"C46206 La Perouse Bank",9.005,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-10,"C46206 La Perouse Bank",8.192,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-11,"C46206 La Perouse Bank",8.217,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-12,"C46206 La Perouse Bank",8.009,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-13,"C46206 La Perouse Bank",7.763,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-14,"C46206 La Perouse Bank",7.6,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-15,"C46206 La Perouse Bank",7.713,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-16,"C46206 La Perouse Bank",8.012,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-17,"C46206 La Perouse Bank",8.046,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-18,"C46206 La Perouse Bank",8.033,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-19,"C46206 La Perouse Bank",8.029,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-20,"C46206 La Perouse Bank",8.455,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-23,"C46206 La Perouse Bank",8.008,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-24,"C46206 La Perouse Bank",8.445,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-25,"C46206 La Perouse Bank",8.467,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-26,"C46206 La Perouse Bank",8.408,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-27,"C46206 La Perouse Bank",8.065,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-28,"C46206 La Perouse Bank",7.921,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-29,"C46206 La Perouse Bank",7.904,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-30,"C46206 La Perouse Bank",7.808,48.835,-125.9983,"DFO_MEDS"
1989,1989-01-31,"C46206 La Perouse Bank",7.537,48.835,-125.9983,"DFO_MEDS"
1989,1989-02-01,"C46206 La Perouse Bank",7.304,48.835,-125.9983,"DFO_MEDS"
1989,1989-02-02,"C46206 La Perouse Bank",7.1,48.835,-125.9983,"DFO_MEDS"
1989,1989-02-03,"C46206 La Perouse Bank",6.862,48.835,-125.9983,"DFO_MEDS"
1989,1989-02-05,"C46206 La Perouse Bank",6.456,48.835,-125.9983,"DFO_MEDS"
1989,1989-02-06,"C46206 La Perouse Bank",6.092,48.835,-125.9983,"DFO_MEDS"
1989,1989-02-07,"C46206 La Perouse Bank",6.342,48.835,-125.9983,"DFO_MEDS"
1989,1989-02-08,"C46206 La Perouse Bank",6.508,48.835,-125.9983,"DFO_MEDS"
1989,1989-02-09,"C46206 La Perouse Bank",6.421,48.835,-125.9983,"DFO_MEDS"
1989,1989-02-10,"C46206 La Perouse Bank",6.379,48.835,-125.9983,"DFO_MEDS"
