"year","Date","STN_ID","SSTP","lat","lon","source"
1990,1990-07-12,"C46208 W. Moresby",14.762,52.5,-132.7,"DFO_MEDS"
1990,1990-07-13,"C46208 W. Moresby",14.908,52.5,-132.7,"DFO_MEDS"
1990,1990-07-14,"C46208 W. Moresby",15.017,52.5,-132.7,"DFO_MEDS"
1990,1990-07-15,"C46208 W. Moresby",14.867,52.5,-132.7,"DFO_MEDS"
1990,1990-07-16,"C46208 W. Moresby",14.713,52.5,-132.7,"DFO_MEDS"
1990,1990-07-17,"C46208 W. Moresby",15.07,52.5,-132.7,"DFO_MEDS"
1990,1990-07-18,"C46208 W. Moresby",15.843,52.5,-132.7,"DFO_MEDS"
1990,1990-07-19,"C46208 W. Moresby",15.545,52.5,-132.7,"DFO_MEDS"
1990,1990-07-20,"C46208 W. Moresby",15.505,52.5,-132.7,"DFO_MEDS"
1990,1990-07-21,"C46208 W. Moresby",15.421,52.5,-132.7,"DFO_MEDS"
1990,1990-07-22,"C46208 W. Moresby",15.309,52.5,-132.7,"DFO_MEDS"
1990,1990-07-23,"C46208 W. Moresby",15.073,52.5,-132.7,"DFO_MEDS"
1990,1990-07-24,"C46208 W. Moresby",14.975,52.5,-132.7,"DFO_MEDS"
1990,1990-07-25,"C46208 W. Moresby",14.826,52.5,-132.7,"DFO_MEDS"
1990,1990-07-26,"C46208 W. Moresby",15.158,52.5,-132.7,"DFO_MEDS"
1990,1990-07-27,"C46208 W. Moresby",15.429,52.5,-132.7,"DFO_MEDS"
1990,1990-07-28,"C46208 W. Moresby",15.825,52.5,-132.7,"DFO_MEDS"
1990,1990-07-29,"C46208 W. Moresby",15.879,52.5,-132.7,"DFO_MEDS"
1990,1990-07-30,"C46208 W. Moresby",15.983,52.5,-132.7,"DFO_MEDS"
1990,1990-07-31,"C46208 W. Moresby",16.117,52.5,-132.7,"DFO_MEDS"
1990,1990-08-01,"C46208 W. Moresby",16.004,52.5,-132.7,"DFO_MEDS"
1990,1990-08-02,"C46208 W. Moresby",15.521,52.5,-132.7,"DFO_MEDS"
