"STN_ID","Date","SSTP","lat","lon","source"
"C46304 Entrance English Bay",2023-01-01,6.563,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-02,6.642,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-03,6.113,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-04,6.456,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-05,6.919,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-06,6.917,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-07,6.768,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-08,6.872,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-09,7.025,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-10,6.676,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-11,6.744,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-12,7.124,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-13,6.921,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-14,7.1,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-15,7.164,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-16,7.194,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-17,6.764,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-18,6.897,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-19,6.715,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-20,6.602,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-21,6.579,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-22,6.447,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-23,6.598,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-24,6.605,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-25,6.668,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-26,6.795,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-27,6.749,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-28,6.774,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-29,6.481,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-30,5.703,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-01-31,4.923,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-02-01,5.386,49.30167,-123.357,"ECCC"
