"STN_ID","Day_of_Year","SSTP_clim_mean","SSTP_clim_n","SSTP_clim_sd","SSTP_clim_10_percentile","SSTP_clim_90_percentile"
"C46004 Middle NOMAD",1,7.852,22,0.587942965589629,7.181,8.587
"C46004 Middle NOMAD",2,7.817,22,0.572840557466593,7.114,8.52
"C46004 Middle NOMAD",3,7.861,23,0.620008178136005,7.127,8.492
"C46004 Middle NOMAD",4,7.774,22,0.546619902486888,7.137,8.39
"C46004 Middle NOMAD",5,7.731,22,0.540863971846635,7.08,8.396
"C46004 Middle NOMAD",6,7.701,23,0.535832622519273,7.056,8.333
"C46004 Middle NOMAD",7,7.673,23,0.527372220363824,7.045,8.312
"C46004 Middle NOMAD",8,7.634,23,0.523600565569275,7.009,8.28
"C46004 Middle NOMAD",9,7.6,21,0.52417942797577,7,8.208
"C46004 Middle NOMAD",10,7.55,22,0.512597287832162,6.928,8.169
"C46004 Middle NOMAD",11,7.594,23,0.606374479409363,6.919,8.188
"C46004 Middle NOMAD",12,7.504,22,0.498783760406687,6.937,8.117
"C46004 Middle NOMAD",13,7.476,22,0.492824793761436,6.913,8.123
"C46004 Middle NOMAD",14,7.471,22,0.499495619230295,6.875,8.056
"C46004 Middle NOMAD",15,7.459,22,0.513827102827794,6.821,7.929
"C46004 Middle NOMAD",16,7.413,23,0.490785446505728,6.838,7.92
"C46004 Middle NOMAD",17,7.406,23,0.495102819927964,6.819,7.906
"C46004 Middle NOMAD",18,7.516,24,0.670071754559435,6.832,8.257
"C46004 Middle NOMAD",19,7.478,24,0.671037152631378,6.772,8.226
"C46004 Middle NOMAD",20,7.424,23,0.597649268016176,6.731,8.111
"C46004 Middle NOMAD",21,7.41,23,0.59460637063974,6.767,7.997
"C46004 Middle NOMAD",22,7.374,24,0.593101453492944,6.709,8.07
"C46004 Middle NOMAD",23,7.362,23,0.585639448646368,6.728,7.96
"C46004 Middle NOMAD",24,7.366,23,0.594254287852237,6.739,8.072
"C46004 Middle NOMAD",25,7.348,24,0.598796197567388,6.733,8.115
"C46004 Middle NOMAD",26,7.342,24,0.608046387005827,6.704,8.094
"C46004 Middle NOMAD",27,7.336,23,0.626426795809305,6.7,8.063
"C46004 Middle NOMAD",28,7.306,24,0.63391774977777,6.665,8.044
"C46004 Middle NOMAD",29,7.281,24,0.634125150135471,6.673,8.02
"C46004 Middle NOMAD",30,7.266,24,0.649062455543479,6.633,8.033
"C46004 Middle NOMAD",31,7.304,25,0.732384095131575,6.563,8.07
"C46004 Middle NOMAD",32,7.237,24,0.639247049055915,6.592,7.998
"C46004 Middle NOMAD",33,7.231,24,0.636087114981544,6.63,7.931
"C46004 Middle NOMAD",34,7.199,24,0.637618954652494,6.587,7.886
"C46004 Middle NOMAD",35,7.18,23,0.643240568557118,6.553,7.854
"C46004 Middle NOMAD",36,7.165,22,0.634127254699853,6.467,7.794
"C46004 Middle NOMAD",37,7.163,23,0.611798163382853,6.459,7.741
"C46004 Middle NOMAD",38,7.143,22,0.624244923567448,6.447,7.714
"C46004 Middle NOMAD",39,7.158,23,0.614733335944089,6.427,7.704
"C46004 Middle NOMAD",40,7.128,23,0.605006961696981,6.435,7.677
"C46004 Middle NOMAD",41,7.127,22,0.615467081219106,6.424,7.657
"C46004 Middle NOMAD",42,7.101,23,0.596767279926088,6.42,7.57
"C46004 Middle NOMAD",43,7.069,23,0.597014274500634,6.42,7.516
"C46004 Middle NOMAD",44,7.047,23,0.599689169809208,6.407,7.497
"C46004 Middle NOMAD",45,7.089,24,0.637790460317641,6.395,7.763
"C46004 Middle NOMAD",46,7.041,23,0.597929034644216,6.34,7.495
"C46004 Middle NOMAD",47,7.09,24,0.634027537668961,6.354,7.705
"C46004 Middle NOMAD",48,7.06,24,0.638640550934189,6.343,7.679
"C46004 Middle NOMAD",49,7.049,25,0.622878275805882,6.326,7.671
"C46004 Middle NOMAD",50,6.981,24,0.5823641110095,6.279,7.459
"C46004 Middle NOMAD",51,6.969,24,0.580024454285144,6.275,7.429
"C46004 Middle NOMAD",52,6.959,24,0.57450123980475,6.278,7.378
"C46004 Middle NOMAD",53,6.939,22,0.624880630356627,6.228,7.443
"C46004 Middle NOMAD",54,6.92,23,0.615778141944932,6.236,7.32
"C46004 Middle NOMAD",55,6.914,23,0.624895440264371,6.228,7.34
"C46004 Middle NOMAD",56,6.918,24,0.6453138951619,6.186,7.344
"C46004 Middle NOMAD",57,6.908,24,0.652762457889729,6.139,7.353
"C46004 Middle NOMAD",58,6.89,24,0.648065667485901,6.114,7.324
"C46004 Middle NOMAD",59,6.884,24,0.644065031153172,6.167,7.376
"C46004 Middle NOMAD",60,6.878,24,0.644259978441029,6.142,7.369
"C46004 Middle NOMAD",61,6.886,24,0.655152238903527,6.211,7.448
"C46004 Middle NOMAD",62,6.854,23,0.68395828204065,6.164,7.462
"C46004 Middle NOMAD",63,6.83,24,0.671855295782125,6.132,7.394
"C46004 Middle NOMAD",64,6.814,24,0.667682300503318,6.064,7.319
"C46004 Middle NOMAD",65,6.829,24,0.68738460592924,6.076,7.444
"C46004 Middle NOMAD",66,6.834,24,0.725880060144273,6.057,7.305
"C46004 Middle NOMAD",67,6.818,24,0.735079425691553,5.992,7.313
"C46004 Middle NOMAD",68,6.83,23,0.755188282206012,5.998,7.398
"C46004 Middle NOMAD",69,6.826,24,0.74011387031828,5.957,7.424
"C46004 Middle NOMAD",70,6.831,24,0.729411798176644,5.972,7.47
"C46004 Middle NOMAD",71,6.817,23,0.742876227867262,5.966,7.557
"C46004 Middle NOMAD",72,6.829,23,0.749106759676248,5.936,7.598
"C46004 Middle NOMAD",73,6.853,24,0.732419758788681,6.016,7.592
"C46004 Middle NOMAD",74,6.863,24,0.703126752869441,6.02,7.61
"C46004 Middle NOMAD",75,6.839,23,0.719493037563594,5.998,7.539
"C46004 Middle NOMAD",76,6.841,22,0.754269932309341,5.961,7.545
"C46004 Middle NOMAD",77,6.809,23,0.733652173625477,5.973,7.513
"C46004 Middle NOMAD",78,6.828,23,0.727906665036378,5.968,7.37
"C46004 Middle NOMAD",79,6.814,22,0.729133148846247,5.921,7.359
"C46004 Middle NOMAD",80,6.842,23,0.721378303403878,5.917,7.511
"C46004 Middle NOMAD",81,6.817,22,0.732741490024491,5.905,7.488
"C46004 Middle NOMAD",82,6.892,22,0.778125553597365,5.941,7.615
"C46004 Middle NOMAD",83,6.875,23,0.801715253636456,5.897,7.542
"C46004 Middle NOMAD",84,6.88,23,0.780552964600508,5.97,7.569
"C46004 Middle NOMAD",85,6.914,23,0.793947276362243,5.961,7.503
"C46004 Middle NOMAD",86,6.898,23,0.812888300625666,5.944,7.532
"C46004 Middle NOMAD",87,6.907,23,0.812025920590529,5.988,7.491
"C46004 Middle NOMAD",88,6.933,22,0.826074436322492,5.974,7.609
"C46004 Middle NOMAD",89,6.935,22,0.835712779016975,6.011,7.73
"C46004 Middle NOMAD",90,6.929,22,0.82558362763342,6.013,7.69
"C46004 Middle NOMAD",91,6.921,23,0.757497540740773,6.043,7.599
"C46004 Middle NOMAD",92,6.926,23,0.760787120088674,6.041,7.695
"C46004 Middle NOMAD",93,6.957,23,0.76960010044078,6.118,7.836
"C46004 Middle NOMAD",94,7.04,23,0.791957020076025,6.119,7.99
"C46004 Middle NOMAD",95,7.009,23,0.803238289817319,6.12,7.946
"C46004 Middle NOMAD",96,7.003,23,0.802873125549364,6.03,7.743
"C46004 Middle NOMAD",97,6.966,22,0.81951149318777,6.025,7.698
"C46004 Middle NOMAD",98,7.028,23,0.772831016712343,6.116,7.681
"C46004 Middle NOMAD",99,7.058,22,0.815704670398669,6.118,7.848
"C46004 Middle NOMAD",100,7.071,23,0.815157385852224,6.165,7.746
"C46004 Middle NOMAD",101,7.119,23,0.841150957181132,6.139,7.941
"C46004 Middle NOMAD",102,7.131,23,0.838459850404588,6.157,7.845
"C46004 Middle NOMAD",103,7.144,23,0.815617118854386,6.232,7.888
"C46004 Middle NOMAD",104,7.149,23,0.809888181341096,6.358,7.778
"C46004 Middle NOMAD",105,7.16,22,0.835876357166049,6.245,7.829
"C46004 Middle NOMAD",106,7.181,22,0.831185007536012,6.263,7.871
"C46004 Middle NOMAD",107,7.187,22,0.804203003402016,6.278,8.008
"C46004 Middle NOMAD",108,7.264,21,0.786989072806085,6.408,8.287
"C46004 Middle NOMAD",109,7.296,21,0.785013911219182,6.346,8.45
"C46004 Middle NOMAD",110,7.37,21,0.823940258804159,6.342,8.526
"C46004 Middle NOMAD",111,7.392,21,0.812076297399831,6.612,8.388
"C46004 Middle NOMAD",112,7.393,21,0.774900698903514,6.688,8.325
"C46004 Middle NOMAD",113,7.422,21,0.748746544718412,6.604,8.4
"C46004 Middle NOMAD",114,7.444,21,0.777040421294288,6.5,8.417
"C46004 Middle NOMAD",115,7.47,22,0.780931327974204,6.573,8.388
"C46004 Middle NOMAD",116,7.492,22,0.789121257203137,6.668,8.385
"C46004 Middle NOMAD",117,7.488,23,0.727357453987048,6.808,8.342
"C46004 Middle NOMAD",118,7.541,23,0.779585257961874,6.829,8.421
"C46004 Middle NOMAD",119,7.547,23,0.799113868008872,6.621,8.34
"C46004 Middle NOMAD",120,7.595,23,0.792895369094771,6.699,8.49
"C46004 Middle NOMAD",121,7.641,23,0.810077911274371,6.854,8.749
"C46004 Middle NOMAD",122,7.657,22,0.827568154645412,6.723,8.583
"C46004 Middle NOMAD",123,7.66,25,0.828983403445231,6.745,8.563
"C46004 Middle NOMAD",124,7.686,25,0.813293677261806,6.767,8.657
"C46004 Middle NOMAD",125,7.778,25,0.824281081843791,6.779,8.687
"C46004 Middle NOMAD",126,7.865,25,0.922569436632435,6.773,9.062
"C46004 Middle NOMAD",127,7.92,25,0.928569333168277,6.793,9.062
"C46004 Middle NOMAD",128,8.026,26,0.968186767315977,6.831,9.2
"C46004 Middle NOMAD",129,8.032,27,0.903227954748061,6.881,9.228
"C46004 Middle NOMAD",130,8.089,27,0.975686218647831,6.821,9.272
"C46004 Middle NOMAD",131,8.134,25,1.00436218487178,6.84,9.385
"C46004 Middle NOMAD",132,8.12,26,1.01953065080424,6.827,9.546
"C46004 Middle NOMAD",133,8.236,27,1.0234771737126,6.882,9.564
"C46004 Middle NOMAD",134,8.301,28,1.00865710565849,7.093,9.582
"C46004 Middle NOMAD",135,8.432,28,1.05415371398343,7.374,9.669
"C46004 Middle NOMAD",136,8.483,28,1.04632977441588,7.457,9.705
"C46004 Middle NOMAD",137,8.586,29,1.07748197272298,7.415,9.74
"C46004 Middle NOMAD",138,8.647,29,1.06641895640553,7.436,9.929
"C46004 Middle NOMAD",139,8.739,27,1.23298282196309,7.533,10.022
"C46004 Middle NOMAD",140,8.842,27,1.28314155468654,7.536,10.078
"C46004 Middle NOMAD",141,8.847,28,1.1724308811873,7.53,10.129
"C46004 Middle NOMAD",142,8.93,27,1.07578162994686,7.6,10.032
"C46004 Middle NOMAD",143,8.995,27,1.05495773572766,7.79,10.26
"C46004 Middle NOMAD",144,9.086,27,1.17174845266346,7.924,10.546
"C46004 Middle NOMAD",145,9.057,28,1.20738542599486,7.605,10.338
