"STN_ID","Day_of_Year","SSTP_clim_mean","SSTP_clim_n","SSTP_clim_sd","SSTP_clim_10_percentile","SSTP_clim_90_percentile"
"C46036 S. NOMAD",1,8.755,25,0.908319724511766,7.718,9.908
"C46036 S. NOMAD",2,8.719,25,0.883582254464345,7.708,9.852
"C46036 S. NOMAD",3,8.673,25,0.895245607293957,7.697,9.801
"C46036 S. NOMAD",4,8.621,25,0.885867769629354,7.63,9.7
"C46036 S. NOMAD",5,8.624,25,0.865319153322678,7.7,9.655
"C46036 S. NOMAD",6,8.605,25,0.848567365619939,7.682,9.682
"C46036 S. NOMAD",7,8.592,24,0.863949434483061,7.713,9.642
"C46036 S. NOMAD",8,8.578,25,0.838402552699266,7.683,9.58
"C46036 S. NOMAD",9,8.543,24,0.861044972829562,7.57,9.473
"C46036 S. NOMAD",10,8.519,24,0.878869138189122,7.475,9.461
"C46036 S. NOMAD",11,8.48,24,0.873808643296883,7.427,9.461
"C46036 S. NOMAD",12,8.448,25,0.859556399781391,7.396,9.39
"C46036 S. NOMAD",13,8.463,25,0.878614752251994,7.434,9.455
"C46036 S. NOMAD",14,8.37,23,0.812414650117789,7.43,9.377
"C46036 S. NOMAD",15,8.313,23,0.774388998835677,7.468,9.303
"C46036 S. NOMAD",16,8.272,23,0.753150817761654,7.47,9.108
"C46036 S. NOMAD",17,8.339,24,0.839191656411452,7.449,9.276
"C46036 S. NOMAD",18,8.306,23,0.863352793726953,7.319,9.308
"C46036 S. NOMAD",19,8.304,23,0.851209798061971,7.32,9.276
"C46036 S. NOMAD",20,8.303,24,0.824277787358732,7.356,9.2
"C46036 S. NOMAD",21,8.298,24,0.829639730750437,7.393,9.238
"C46036 S. NOMAD",22,8.309,24,0.805116560971061,7.337,9.305
"C46036 S. NOMAD",23,8.205,23,0.750428741679648,7.27,9.16
"C46036 S. NOMAD",24,8.187,23,0.746620977654184,7.255,9.168
"C46036 S. NOMAD",25,8.237,24,0.830523759973209,7.261,9.173
"C46036 S. NOMAD",26,8.197,24,0.82341084910232,7.271,9.111
"C46036 S. NOMAD",27,8.153,24,0.818350475787343,7.271,9.081
"C46036 S. NOMAD",28,8.094,23,0.821135109023916,7.182,8.936
"C46036 S. NOMAD",29,8.087,23,0.834932796085841,7.137,9.017
"C46036 S. NOMAD",30,8.064,23,0.811782251609122,7.139,9.076
"C46036 S. NOMAD",31,8.064,22,0.8410292356907,7.108,8.996
"C46036 S. NOMAD",32,8.046,23,0.806294112532384,7.117,8.91
"C46036 S. NOMAD",33,8.032,23,0.794422378201065,7.109,8.799
"C46036 S. NOMAD",34,7.994,23,0.766459123448062,7.144,8.788
"C46036 S. NOMAD",35,7.998,22,0.787383087095108,7.142,8.881
"C46036 S. NOMAD",36,7.973,22,0.76393077621683,7.142,8.846
"C46036 S. NOMAD",37,7.962,22,0.764708838849827,7.124,8.824
"C46036 S. NOMAD",38,7.95,22,0.762301071598394,7.195,8.761
"C46036 S. NOMAD",39,7.95,23,0.737131524623707,7.204,8.67
"C46036 S. NOMAD",40,7.92,23,0.689381466237126,7.178,8.659
"C46036 S. NOMAD",41,7.885,22,0.685243000797707,7.208,8.701
"C46036 S. NOMAD",42,7.918,23,0.677513738584856,7.21,8.681
"C46036 S. NOMAD",43,7.907,23,0.723708411419417,7.171,8.669
"C46036 S. NOMAD",44,7.879,23,0.722930988067783,7.138,8.746
"C46036 S. NOMAD",45,7.846,23,0.69558200265302,7.132,8.628
"C46036 S. NOMAD",46,7.844,23,0.694577512098764,7.168,8.684
"C46036 S. NOMAD",47,7.841,23,0.686649784662695,7.17,8.669
"C46036 S. NOMAD",48,7.84,24,0.662224408879178,7.189,8.624
"C46036 S. NOMAD",49,7.844,24,0.660706745838447,7.171,8.77
"C46036 S. NOMAD",50,7.723,23,0.604226722971978,7.098,8.392
"C46036 S. NOMAD",51,7.698,23,0.589478006339412,7.073,8.381
"C46036 S. NOMAD",52,7.725,24,0.584898155626872,7.044,8.385
"C46036 S. NOMAD",53,7.718,24,0.584058408687518,7.034,8.365
"C46036 S. NOMAD",54,7.722,24,0.651994534196118,6.997,8.61
"C46036 S. NOMAD",55,7.716,24,0.651086288047401,6.973,8.569
"C46036 S. NOMAD",56,7.712,24,0.638668690482599,6.968,8.509
"C46036 S. NOMAD",57,7.678,24,0.635592532577657,6.904,8.594
"C46036 S. NOMAD",58,7.648,23,0.682525393813321,6.863,8.618
"C46036 S. NOMAD",59,7.627,23,0.688510209746415,6.832,8.652
"C46036 S. NOMAD",60,7.608,23,0.685563964581326,6.822,8.595
"C46036 S. NOMAD",61,7.598,23,0.649469003981485,6.896,8.437
"C46036 S. NOMAD",62,7.608,23,0.676811932551496,6.881,8.378
"C46036 S. NOMAD",63,7.582,23,0.663872300982696,6.889,8.448
"C46036 S. NOMAD",64,7.559,23,0.643776520939151,6.839,8.434
"C46036 S. NOMAD",65,7.583,23,0.649774568389436,6.838,8.489
"C46036 S. NOMAD",66,7.561,23,0.670411677996359,6.827,8.447
"C46036 S. NOMAD",67,7.542,23,0.671344678012715,6.808,8.428
"C46036 S. NOMAD",68,7.548,23,0.635754779395496,6.808,8.4
"C46036 S. NOMAD",69,7.573,23,0.665783393447614,6.815,8.418
"C46036 S. NOMAD",70,7.554,23,0.63150222754031,6.8,8.375
"C46036 S. NOMAD",71,7.543,23,0.645580890794137,6.762,8.434
"C46036 S. NOMAD",72,7.545,23,0.663062286282125,6.752,8.532
"C46036 S. NOMAD",73,7.553,23,0.677392633952025,6.706,8.479
"C46036 S. NOMAD",74,7.573,23,0.680236066085195,6.708,8.492
"C46036 S. NOMAD",75,7.532,22,0.660748310293218,6.709,8.434
"C46036 S. NOMAD",76,7.52,23,0.636477745508991,6.729,8.381
"C46036 S. NOMAD",77,7.544,24,0.637519678373578,6.75,8.354
"C46036 S. NOMAD",78,7.542,24,0.623250830756746,6.735,8.268
"C46036 S. NOMAD",79,7.523,24,0.619282988176243,6.725,8.265
"C46036 S. NOMAD",80,7.547,24,0.668746882167403,6.722,8.365
"C46036 S. NOMAD",81,7.538,24,0.654775875797847,6.712,8.32
"C46036 S. NOMAD",82,7.53,23,0.680860189795882,6.73,8.38
"C46036 S. NOMAD",83,7.549,24,0.665860120828863,6.852,8.359
"C46036 S. NOMAD",84,7.541,24,0.694388842028271,6.77,8.397
"C46036 S. NOMAD",85,7.547,24,0.671321006630204,6.774,8.444
"C46036 S. NOMAD",86,7.546,24,0.697467517065896,6.724,8.391
"C46036 S. NOMAD",87,7.584,24,0.70044551812762,6.725,8.464
"C46036 S. NOMAD",88,7.624,23,0.743869628632578,6.705,8.593
"C46036 S. NOMAD",89,7.609,23,0.713991999776113,6.708,8.584
"C46036 S. NOMAD",90,7.616,23,0.745719038549801,6.746,8.644
"C46036 S. NOMAD",91,7.643,24,0.731665798942346,6.72,8.502
"C46036 S. NOMAD",92,7.674,24,0.7475017806848,6.741,8.662
"C46036 S. NOMAD",93,7.655,24,0.72689000980232,6.748,8.615
"C46036 S. NOMAD",94,7.639,24,0.782158198330072,6.653,8.658
"C46036 S. NOMAD",95,7.676,23,0.717144591775511,6.732,8.71
"C46036 S. NOMAD",96,7.664,23,0.70136804237163,6.767,8.476
"C46036 S. NOMAD",97,7.674,23,0.670068520412936,6.813,8.437
"C46036 S. NOMAD",98,7.661,22,0.694563238441057,6.83,8.442
"C46036 S. NOMAD",99,7.752,23,0.735930572286686,6.933,8.784
"C46036 S. NOMAD",100,7.752,23,0.736372142101787,6.914,8.769
"C46036 S. NOMAD",101,7.769,23,0.712042007682933,6.933,8.796
"C46036 S. NOMAD",102,7.827,23,0.68674476389756,7.041,8.704
"C46036 S. NOMAD",103,7.866,23,0.695648813185705,7.099,8.862
"C46036 S. NOMAD",104,7.83,23,0.671965303937367,7.124,8.743
"C46036 S. NOMAD",105,7.875,23,0.69558207610474,7.087,8.823
"C46036 S. NOMAD",106,7.906,23,0.714192149869086,7.142,8.85
"C46036 S. NOMAD",107,7.949,23,0.699846984384313,7.179,8.85
"C46036 S. NOMAD",108,7.986,23,0.727114224200252,7.14,8.833
"C46036 S. NOMAD",109,7.997,23,0.726087200081769,7.068,8.828
"C46036 S. NOMAD",110,8.03,23,0.681211764267251,7.293,8.878
"C46036 S. NOMAD",111,8.114,23,0.756027864799963,7.171,9.118
"C46036 S. NOMAD",112,8.105,23,0.74940318061338,7.164,8.949
"C46036 S. NOMAD",113,8.151,23,0.71117421571033,7.242,8.86
"C46036 S. NOMAD",114,8.174,23,0.712831838832818,7.465,8.948
"C46036 S. NOMAD",115,8.197,23,0.699295411956785,7.428,8.987
"C46036 S. NOMAD",116,8.215,23,0.753027997992217,7.287,9.229
"C46036 S. NOMAD",117,8.21,23,0.783503652058039,7.285,9.254
"C46036 S. NOMAD",118,8.234,23,0.75388798468071,7.269,9.102
"C46036 S. NOMAD",119,8.33,23,0.815292322693974,7.311,9.422
"C46036 S. NOMAD",120,8.389,23,0.802831833903855,7.34,9.584
"C46036 S. NOMAD",121,8.402,24,0.887849739328832,7.283,9.55
"C46036 S. NOMAD",122,8.445,24,0.91090942348992,7.374,9.693
"C46036 S. NOMAD",123,8.567,25,0.984325123652739,7.434,9.803
"C46036 S. NOMAD",124,8.587,25,0.887401483101716,7.586,9.809
