"STN_ID","Day_of_Year","SSTP_clim_mean","SSTP_clim_n","SSTP_clim_sd","SSTP_clim_10_percentile","SSTP_clim_90_percentile"
"C46131 Sentry Shoal",1,7.442,26,0.74415971143029,6.825,8.254
"C46131 Sentry Shoal",2,7.428,24,0.640808292181941,6.862,8.307
"C46131 Sentry Shoal",3,7.423,25,0.767469362938752,6.662,8.503
"C46131 Sentry Shoal",4,7.372,25,0.789252743086982,6.333,8.446
"C46131 Sentry Shoal",5,7.352,26,0.772109809141942,6.441,8.389
"C46131 Sentry Shoal",6,7.384,26,0.755073414690741,6.49,8.272
"C46131 Sentry Shoal",7,7.386,26,0.671663140182097,6.581,8.225
"C46131 Sentry Shoal",8,7.394,26,0.63598090611873,6.483,8.207
"C46131 Sentry Shoal",9,7.386,26,0.583153543765316,6.737,8.173
"C46131 Sentry Shoal",10,7.394,26,0.586540718315708,6.765,8.169
"C46131 Sentry Shoal",11,7.365,26,0.658768163018682,6.558,8.223
"C46131 Sentry Shoal",12,7.338,26,0.621623968415369,6.713,8.14
"C46131 Sentry Shoal",13,7.38,27,0.616733035300243,6.568,8.204
"C46131 Sentry Shoal",14,7.309,26,0.602256802991508,6.513,8.127
"C46131 Sentry Shoal",15,7.261,26,0.616233210637703,6.562,7.956
"C46131 Sentry Shoal",16,7.255,26,0.639353428129556,6.445,8.058
"C46131 Sentry Shoal",17,7.266,26,0.647663498191199,6.424,7.932
"C46131 Sentry Shoal",18,7.29,26,0.665188267697598,6.415,8.124
"C46131 Sentry Shoal",19,7.367,26,0.737063969112184,6.406,8.176
"C46131 Sentry Shoal",20,7.441,26,0.74994298534966,6.37,8.232
"C46131 Sentry Shoal",21,7.441,27,0.746754316529152,6.398,8.396
"C46131 Sentry Shoal",22,7.351,27,0.788878775465077,6.271,8.206
"C46131 Sentry Shoal",23,7.359,27,0.718891997394789,6.388,8.15
"C46131 Sentry Shoal",24,7.36,27,0.747428995910131,6.404,8.25
"C46131 Sentry Shoal",25,7.372,27,0.732471293993694,6.35,8.323
"C46131 Sentry Shoal",26,7.342,27,0.728294975425789,6.264,8.244
"C46131 Sentry Shoal",27,7.287,27,0.758138622674545,6.419,8.307
"C46131 Sentry Shoal",28,7.341,27,0.739525148667739,6.469,8.305
"C46131 Sentry Shoal",29,7.37,28,0.697097866963866,6.305,8.251
"C46131 Sentry Shoal",30,7.336,28,0.728104824089978,6.433,8.123
"C46131 Sentry Shoal",31,7.254,28,0.809349213355645,6.407,8.067
"C46131 Sentry Shoal",32,7.253,26,0.726142180925137,6.492,7.952
"C46131 Sentry Shoal",33,7.329,27,0.721526780237984,6.45,8.162
"C46131 Sentry Shoal",34,7.23,27,0.689493261026443,6.476,7.984
"C46131 Sentry Shoal",35,7.236,28,0.647849505483516,6.556,7.968
"C46131 Sentry Shoal",36,7.23,27,0.634727679849349,6.286,7.87
"C46131 Sentry Shoal",37,7.234,28,0.633711007879274,6.39,7.958
"C46131 Sentry Shoal",38,7.281,27,0.60407655062798,6.395,7.905
"C46131 Sentry Shoal",39,7.204,28,0.640684640602755,6.366,7.922
"C46131 Sentry Shoal",40,7.137,27,0.608821555156744,6.512,7.707
"C46131 Sentry Shoal",41,7.136,27,0.585054083093119,6.477,7.829
"C46131 Sentry Shoal",42,7.231,27,0.645776928626588,6.498,8.092
"C46131 Sentry Shoal",43,7.206,26,0.609758254400466,6.576,7.973
"C46131 Sentry Shoal",44,7.262,27,0.703110668066854,6.588,8.067
"C46131 Sentry Shoal",45,7.28,27,0.643892867221493,6.677,8.179
"C46131 Sentry Shoal",46,7.229,27,0.671825376973269,6.616,8.086
"C46131 Sentry Shoal",47,7.307,27,0.565391517663084,6.633,8.082
"C46131 Sentry Shoal",48,7.256,27,0.538634702692198,6.604,7.917
"C46131 Sentry Shoal",49,7.254,27,0.550374723394959,6.563,7.8
"C46131 Sentry Shoal",50,7.227,27,0.626951784516303,6.54,7.83
"C46131 Sentry Shoal",51,7.256,27,0.622284052707632,6.448,7.976
"C46131 Sentry Shoal",52,7.239,27,0.615777574059682,6.527,7.971
"C46131 Sentry Shoal",53,7.204,27,0.60857171466088,6.606,7.953
"C46131 Sentry Shoal",54,7.23,27,0.60616612266853,6.605,7.852
"C46131 Sentry Shoal",55,7.272,27,0.543542013392689,6.72,7.878
"C46131 Sentry Shoal",56,7.287,27,0.560244167262706,6.566,7.817
"C46131 Sentry Shoal",57,7.249,27,0.589718865089912,6.588,7.861
"C46131 Sentry Shoal",58,7.214,27,0.548994635768315,6.588,7.751
"C46131 Sentry Shoal",59,7.272,27,0.535196228305489,6.726,7.96
"C46131 Sentry Shoal",60,7.335,27,0.530780117377205,6.855,7.88
"C46131 Sentry Shoal",61,7.369,27,0.51709730449465,6.944,8.091
"C46131 Sentry Shoal",62,7.412,27,0.480050151163084,6.928,8.055
"C46131 Sentry Shoal",63,7.448,26,0.532188035227061,6.923,8.295
"C46131 Sentry Shoal",64,7.468,26,0.596498732194301,6.795,8.452
"C46131 Sentry Shoal",65,7.448,26,0.677525108857719,6.707,8.479
"C46131 Sentry Shoal",66,7.493,27,0.658394158862516,6.781,8.461
"C46131 Sentry Shoal",67,7.499,27,0.683838724096763,6.836,8.48
"C46131 Sentry Shoal",68,7.462,27,0.643135970975274,6.806,8.358
"C46131 Sentry Shoal",69,7.587,27,0.674230200905409,6.919,8.395
"C46131 Sentry Shoal",70,7.663,27,0.606147141090585,6.955,8.38
"C46131 Sentry Shoal",71,7.737,27,0.523233657285533,7.169,8.554
"C46131 Sentry Shoal",72,7.806,27,0.512901137271662,7.377,8.569
"C46131 Sentry Shoal",73,7.823,27,0.60385217571114,7.233,8.62
"C46131 Sentry Shoal",74,7.848,27,0.531571940642468,7.175,8.374
"C46131 Sentry Shoal",75,7.865,27,0.57285088744662,7.201,8.664
"C46131 Sentry Shoal",76,7.845,27,0.56042263185281,7.239,8.482
"C46131 Sentry Shoal",77,7.905,26,0.589801419079703,7.198,8.648
"C46131 Sentry Shoal",78,7.985,27,0.64609585317117,7.244,8.837
"C46131 Sentry Shoal",79,8.026,27,0.592493797822316,7.359,8.707
"C46131 Sentry Shoal",80,8.114,27,0.588289946654344,7.387,8.807
"C46131 Sentry Shoal",81,8.079,27,0.629755693907363,7.405,8.843
"C46131 Sentry Shoal",82,8.083,26,0.582182721199654,7.463,8.8
"C46131 Sentry Shoal",83,8.2,27,0.668386188344005,7.507,9.232
"C46131 Sentry Shoal",84,8.195,27,0.57701778070275,7.492,9.019
"C46131 Sentry Shoal",85,8.217,27,0.547321647886568,7.519,8.96
"C46131 Sentry Shoal",86,8.328,27,0.552820855643556,7.626,9.018
"C46131 Sentry Shoal",87,8.341,27,0.661609615986191,7.458,9.103
"C46131 Sentry Shoal",88,8.396,27,0.677149396760023,7.549,9.248
"C46131 Sentry Shoal",89,8.424,27,0.733776841031327,7.544,9.427
"C46131 Sentry Shoal",90,8.513,27,0.78740791275998,7.587,9.427
"C46131 Sentry Shoal",91,8.647,27,0.924387643604784,7.686,9.546
"C46131 Sentry Shoal",92,8.725,27,1.0054248721296,7.664,9.884
"C46131 Sentry Shoal",93,8.678,27,0.958202703431489,7.657,9.688
"C46131 Sentry Shoal",94,8.789,27,0.954984016924419,7.659,9.96
"C46131 Sentry Shoal",95,8.796,27,0.871325086153181,7.708,9.896
"C46131 Sentry Shoal",96,8.752,27,0.7137168999837,8.085,9.589
"C46131 Sentry Shoal",97,8.768,27,0.571627659092251,8.099,9.562
"C46131 Sentry Shoal",98,8.917,26,0.677196233675492,8.056,9.768
"C46131 Sentry Shoal",99,9.096,27,0.843269046859681,8.252,10.15
"C46131 Sentry Shoal",100,9.149,27,0.800284592999433,8.161,10.386
"C46131 Sentry Shoal",101,9.224,27,0.769298181699334,8.459,10.081
"C46131 Sentry Shoal",102,9.34,27,0.840244444653075,8.388,10.569
"C46131 Sentry Shoal",103,9.264,27,0.90068487701789,8.243,10.465
"C46131 Sentry Shoal",104,9.197,27,0.796603318261154,8.382,10.201
"C46131 Sentry Shoal",105,9.48,27,0.923753259461386,8.546,10.668
"C46131 Sentry Shoal",106,9.575,27,0.794613828398667,8.61,10.504
"C46131 Sentry Shoal",107,9.631,26,0.971116840249808,8.531,10.925
"C46131 Sentry Shoal",108,9.509,26,0.870370062806099,8.674,10.6
"C46131 Sentry Shoal",109,9.67,26,0.953944097703873,8.726,11.233
"C46131 Sentry Shoal",110,9.795,26,1.12072304873006,8.644,11.39
"C46131 Sentry Shoal",111,9.883,25,1.19177096000585,8.608,11.451
"C46131 Sentry Shoal",112,10.154,25,1.24708458096483,8.802,11.601
"C46131 Sentry Shoal",113,10.21,26,1.05146409805679,9.206,11.506
"C46131 Sentry Shoal",114,10.242,25,1.00192993127019,9.103,11.434
"C46131 Sentry Shoal",115,10.286,26,1.08225040132825,9.017,11.348
"C46131 Sentry Shoal",116,10.396,26,1.03533719276298,9.212,11.729
"C46131 Sentry Shoal",117,10.352,26,1.18315357748004,9.363,12.221
"C46131 Sentry Shoal",118,10.412,27,1.27209660553652,9.323,12.135
"C46131 Sentry Shoal",119,10.54,27,1.16853639747746,9.301,12.129
"C46131 Sentry Shoal",120,10.623,27,1.22873465832512,9.17,12.323
"C46131 Sentry Shoal",121,10.885,27,1.00639672833946,9.827,12.19
"C46131 Sentry Shoal",122,11.09,27,1.45992652330059,9.536,13.226
"C46131 Sentry Shoal",123,10.992,27,1.2232591412542,9.6,12.833
"C46131 Sentry Shoal",124,11.121,27,1.42376774965674,9.696,13.248
"C46131 Sentry Shoal",125,11.153,27,1.33011564417153,9.516,13.084
"C46131 Sentry Shoal",126,11.262,27,1.45273300323221,9.756,13.587
"C46131 Sentry Shoal",127,11.535,27,1.47686404592853,9.792,13.911
"C46131 Sentry Shoal",128,11.626,27,1.37651510907657,10.01,13.634
"C46131 Sentry Shoal",129,11.948,26,1.36314931858225,10.466,13.67
