"STN_ID","Day_of_Year","SSTP_clim_mean","SSTP_clim_n","SSTP_clim_sd","SSTP_clim_10_percentile","SSTP_clim_90_percentile"
"C46132 S. Brooks",1,8.919,21,0.871161104693928,7.94,9.925
"C46132 S. Brooks",2,8.959,21,0.852493605490749,7.81,10.113
"C46132 S. Brooks",3,8.906,22,0.798628225974483,7.835,9.948
"C46132 S. Brooks",4,8.959,21,0.792312440303569,7.885,9.781
"C46132 S. Brooks",5,8.934,22,0.811191430329477,7.908,9.914
"C46132 S. Brooks",6,8.868,22,0.793551225286582,7.91,9.988
"C46132 S. Brooks",7,8.793,22,0.758597149912011,7.866,9.575
"C46132 S. Brooks",8,8.902,22,0.80387630993201,8.077,10.068
"C46132 S. Brooks",9,8.812,22,0.83129276230448,7.788,10.064
"C46132 S. Brooks",10,8.782,22,0.826016309346167,7.727,9.842
"C46132 S. Brooks",11,8.729,22,0.827995712947543,7.613,9.749
"C46132 S. Brooks",12,8.724,22,0.945490725842748,7.504,10.06
"C46132 S. Brooks",13,8.767,22,0.919529274631967,7.592,10.128
"C46132 S. Brooks",14,8.77,22,0.906497341033113,7.632,10.149
"C46132 S. Brooks",15,8.806,21,0.940762802940767,7.754,10.261
"C46132 S. Brooks",16,8.706,22,0.940706916270262,7.686,10.123
"C46132 S. Brooks",17,8.659,21,0.917637747308484,7.579,9.856
"C46132 S. Brooks",18,8.668,21,0.940258919022126,7.579,9.735
"C46132 S. Brooks",19,8.697,22,0.882969391616306,7.461,9.732
"C46132 S. Brooks",20,8.63,22,0.851517372056144,7.681,9.445
"C46132 S. Brooks",21,8.751,21,0.796257874660527,7.943,9.517
"C46132 S. Brooks",22,8.671,21,0.781949401770251,7.7,9.583
"C46132 S. Brooks",23,8.675,21,0.853216193646757,7.689,9.661
"C46132 S. Brooks",24,8.623,22,0.787125254797996,7.617,9.511
"C46132 S. Brooks",25,8.562,22,0.803454265894436,7.635,9.238
"C46132 S. Brooks",26,8.492,22,0.858662268589907,7.389,9.246
"C46132 S. Brooks",27,8.512,22,0.842675186262715,7.583,9.431
"C46132 S. Brooks",28,8.504,22,0.868566777756295,7.554,9.313
"C46132 S. Brooks",29,8.499,22,0.905164206008446,7.56,9.311
"C46132 S. Brooks",30,8.641,22,0.863008843343074,7.619,9.704
"C46132 S. Brooks",31,8.632,22,0.92664114334404,7.557,9.899
"C46132 S. Brooks",32,8.599,22,0.944054458272406,7.547,9.701
