"STN_ID","Day_of_Year","SSTP_clim_mean","SSTP_clim_n","SSTP_clim_sd","SSTP_clim_10_percentile","SSTP_clim_90_percentile"
"C46145 Central Dixon Entrance",1,7.207,25,0.729167091902246,6.555,7.961
"C46145 Central Dixon Entrance",2,7.167,24,0.690443392503122,6.463,8.009
"C46145 Central Dixon Entrance",3,7.137,26,0.701549357206137,6.385,7.877
"C46145 Central Dixon Entrance",4,7.085,25,0.717958392515026,6.273,7.85
"C46145 Central Dixon Entrance",5,7,26,0.782939080262528,6.259,7.833
"C46145 Central Dixon Entrance",6,6.992,26,0.646366526668869,6.254,7.823
"C46145 Central Dixon Entrance",7,6.947,26,0.649870081408418,6.252,7.723
"C46145 Central Dixon Entrance",8,6.975,26,0.636375467284334,6.335,7.667
"C46145 Central Dixon Entrance",9,6.961,26,0.656296047283483,6.245,7.759
"C46145 Central Dixon Entrance",10,6.922,26,0.702430554350153,6.141,7.896
"C46145 Central Dixon Entrance",11,6.896,26,0.665503076583313,6.14,7.741
"C46145 Central Dixon Entrance",12,6.832,26,0.637840193286158,6.047,7.496
"C46145 Central Dixon Entrance",13,6.811,27,0.700127828046369,5.948,7.568
"C46145 Central Dixon Entrance",14,6.792,28,0.705262341341205,6.04,7.564
"C46145 Central Dixon Entrance",15,6.798,28,0.718370202073572,5.966,7.614
"C46145 Central Dixon Entrance",16,6.803,28,0.765464210091661,5.845,7.775
"C46145 Central Dixon Entrance",17,6.782,28,0.769241239226561,5.825,7.641
"C46145 Central Dixon Entrance",18,6.751,27,0.774694102249338,5.84,7.633
"C46145 Central Dixon Entrance",19,6.695,27,0.819556056327418,5.653,7.743
"C46145 Central Dixon Entrance",20,6.677,28,0.767210102311739,5.662,7.567
"C46145 Central Dixon Entrance",21,6.657,28,0.772376904431509,5.585,7.526
"C46145 Central Dixon Entrance",22,6.702,28,0.758382714827151,5.609,7.59
"C46145 Central Dixon Entrance",23,6.7,28,0.751006790547186,5.64,7.602
"C46145 Central Dixon Entrance",24,6.656,27,0.762844700819361,5.837,7.593
"C46145 Central Dixon Entrance",25,6.65,27,0.79839695358943,5.789,7.623
"C46145 Central Dixon Entrance",26,6.635,27,0.808145627665777,5.827,7.673
"C46145 Central Dixon Entrance",27,6.655,27,0.762400335236556,5.887,7.642
"C46145 Central Dixon Entrance",28,6.634,27,0.784235554175717,5.767,7.664
"C46145 Central Dixon Entrance",29,6.611,27,0.774785075432469,5.716,7.749
"C46145 Central Dixon Entrance",30,6.617,27,0.736767693425481,5.781,7.655
"C46145 Central Dixon Entrance",31,6.577,27,0.764026870099925,5.598,7.627
"C46145 Central Dixon Entrance",32,6.573,26,0.785560972023659,5.565,7.558
"C46145 Central Dixon Entrance",33,6.55,27,0.74784479383344,5.532,7.436
"C46145 Central Dixon Entrance",34,6.533,26,0.774550116443394,5.552,7.468
"C46145 Central Dixon Entrance",35,6.508,26,0.733917497335534,5.581,7.51
"C46145 Central Dixon Entrance",36,6.551,27,0.642178719798909,5.886,7.283
"C46145 Central Dixon Entrance",37,6.546,27,0.619051611115769,5.806,7.274
"C46145 Central Dixon Entrance",38,6.49,27,0.601841685228225,5.712,7.213
"C46145 Central Dixon Entrance",39,6.434,27,0.593452536370182,5.571,7.235
"C46145 Central Dixon Entrance",40,6.403,27,0.602471528767869,5.64,7.17
"C46145 Central Dixon Entrance",41,6.427,27,0.594928766501793,5.797,7.237
"C46145 Central Dixon Entrance",42,6.497,27,0.627546114409413,5.822,7.318
"C46145 Central Dixon Entrance",43,6.499,26,0.677322403140655,5.788,7.465
"C46145 Central Dixon Entrance",44,6.497,26,0.721758812674642,5.776,7.415
"C46145 Central Dixon Entrance",45,6.497,26,0.706477578379062,5.692,7.332
"C46145 Central Dixon Entrance",46,6.454,26,0.724113781486198,5.743,7.329
"C46145 Central Dixon Entrance",47,6.449,26,0.734564965148708,5.743,7.284
"C46145 Central Dixon Entrance",48,6.433,26,0.705488662809919,5.773,7.277
"C46145 Central Dixon Entrance",49,6.398,26,0.674140490161509,5.719,7.317
"C46145 Central Dixon Entrance",50,6.385,26,0.672382574509655,5.68,7.235
"C46145 Central Dixon Entrance",51,6.42,27,0.680354696224349,5.696,7.309
"C46145 Central Dixon Entrance",52,6.425,27,0.644651631081422,5.852,7.278
"C46145 Central Dixon Entrance",53,6.392,27,0.692644679937346,5.81,7.126
"C46145 Central Dixon Entrance",54,6.354,27,0.696259536926515,5.758,7.188
"C46145 Central Dixon Entrance",55,6.34,27,0.719656676722146,5.622,7.253
"C46145 Central Dixon Entrance",56,6.339,27,0.689820829335629,5.666,7.182
"C46145 Central Dixon Entrance",57,6.347,27,0.739543853419718,5.528,7.315
"C46145 Central Dixon Entrance",58,6.367,27,0.76083575102674,5.53,7.365
"C46145 Central Dixon Entrance",59,6.395,27,0.738455170246782,5.627,7.372
"C46145 Central Dixon Entrance",60,6.392,27,0.72940358995093,5.579,7.308
"C46145 Central Dixon Entrance",61,6.379,27,0.707740105304175,5.491,7.315
"C46145 Central Dixon Entrance",62,6.335,27,0.716392859217907,5.493,7.246
"C46145 Central Dixon Entrance",63,6.273,28,0.705915312097355,5.561,7.186
"C46145 Central Dixon Entrance",64,6.271,27,0.69470301368072,5.651,7.253
"C46145 Central Dixon Entrance",65,6.254,27,0.683850191402757,5.508,7.147
"C46145 Central Dixon Entrance",66,6.246,27,0.667604446052047,5.466,7.054
"C46145 Central Dixon Entrance",67,6.257,27,0.707494915546364,5.473,7.182
"C46145 Central Dixon Entrance",68,6.244,27,0.682312161356209,5.513,7.161
"C46145 Central Dixon Entrance",69,6.265,27,0.664100381729742,5.633,7.175
