"STN_ID","Day_of_Year","SSTP_clim_mean","SSTP_clim_n","SSTP_clim_sd","SSTP_clim_10_percentile","SSTP_clim_90_percentile"
"C46146 Halibut Bank",1,6.972,26,0.676364765743131,6.366,7.885
"C46146 Halibut Bank",2,6.981,25,0.729358613866573,5.853,7.568
"C46146 Halibut Bank",3,6.935,25,0.739070353406114,5.874,7.847
"C46146 Halibut Bank",4,6.883,25,0.761493660879683,5.786,7.723
"C46146 Halibut Bank",5,6.883,26,0.73564436996441,6.136,7.654
"C46146 Halibut Bank",6,6.832,26,0.782255218466434,5.731,7.642
"C46146 Halibut Bank",7,6.845,26,0.742097546346095,5.95,7.49
"C46146 Halibut Bank",8,6.861,26,0.787550553904628,5.883,7.541
"C46146 Halibut Bank",9,6.896,25,0.618005120242007,6.302,7.588
"C46146 Halibut Bank",10,6.899,25,0.644059171729353,6.016,7.803
"C46146 Halibut Bank",11,6.838,25,0.689138028889292,5.881,7.676
"C46146 Halibut Bank",12,6.77,26,0.739008303441341,5.706,7.696
"C46146 Halibut Bank",13,6.802,26,0.751453205421119,5.881,7.769
"C46146 Halibut Bank",14,6.726,25,0.755512683599644,5.725,7.636
"C46146 Halibut Bank",15,6.733,26,0.78883631590142,5.846,7.95
"C46146 Halibut Bank",16,6.648,25,0.702040459024642,5.697,7.413
"C46146 Halibut Bank",17,6.706,26,0.604996923294993,5.833,7.425
"C46146 Halibut Bank",18,6.787,26,0.673736242667232,6.027,7.754
"C46146 Halibut Bank",19,6.809,26,0.724842019600974,5.988,7.638
"C46146 Halibut Bank",20,6.815,26,0.74429199026924,6.003,7.771
"C46146 Halibut Bank",21,6.788,27,0.63946462042167,5.776,7.67
"C46146 Halibut Bank",22,6.702,27,0.636369604884882,5.885,7.533
"C46146 Halibut Bank",23,6.687,26,0.643777200533745,5.867,7.5
"C46146 Halibut Bank",24,6.726,26,0.678910680701272,5.95,7.452
"C46146 Halibut Bank",25,6.871,27,0.718181946419581,5.923,7.648
"C46146 Halibut Bank",26,6.873,28,0.743311926270209,5.912,7.77
"C46146 Halibut Bank",27,6.845,28,0.710883197902636,6.09,7.755
"C46146 Halibut Bank",28,6.823,28,0.736951431523425,5.889,7.713
"C46146 Halibut Bank",29,6.768,27,0.863699084650147,5.495,7.672
"C46146 Halibut Bank",30,6.731,26,0.859920799653841,5.477,7.498
"C46146 Halibut Bank",31,6.777,26,0.736045836802869,5.894,7.585
"C46146 Halibut Bank",32,6.812,27,0.80314133192351,5.612,7.68
"C46146 Halibut Bank",33,6.781,27,0.877498252526424,5.54,7.721
"C46146 Halibut Bank",34,6.747,27,0.852638100914882,5.519,7.651
"C46146 Halibut Bank",35,6.674,26,0.815619658444179,5.421,7.645
"C46146 Halibut Bank",36,6.694,26,0.811426705739015,5.565,7.758
"C46146 Halibut Bank",37,6.71,26,0.74630058222599,5.948,7.559
"C46146 Halibut Bank",38,6.687,26,0.744438989897219,5.704,7.533
"C46146 Halibut Bank",39,6.767,27,0.752816698687433,5.887,7.648
"C46146 Halibut Bank",40,6.718,27,0.715929461556725,5.931,7.52
"C46146 Halibut Bank",41,6.752,26,0.702986201683029,5.979,7.486
"C46146 Halibut Bank",42,6.715,27,0.659735401773065,5.889,7.376
"C46146 Halibut Bank",43,6.712,26,0.735992090559637,5.841,7.471
"C46146 Halibut Bank",44,6.813,26,0.728013846196891,5.985,7.674
"C46146 Halibut Bank",45,6.881,26,0.690614793387835,6.162,7.804
"C46146 Halibut Bank",46,6.929,26,0.617486705494406,6.202,7.681
"C46146 Halibut Bank",47,6.981,26,0.538903575736448,6.301,7.569
"C46146 Halibut Bank",48,7.011,25,0.531994907021499,6.439,7.738
"C46146 Halibut Bank",49,7.077,26,0.507727491348098,6.504,7.594
"C46146 Halibut Bank",50,7.043,27,0.587655531225354,6.447,7.776
"C46146 Halibut Bank",51,7.075,27,0.651822352650648,6.267,7.882
"C46146 Halibut Bank",52,7.084,27,0.629376501060047,6.268,7.942
"C46146 Halibut Bank",53,7.044,27,0.583370761811292,6.454,7.794
"C46146 Halibut Bank",54,7.068,27,0.53422480476219,6.539,7.577
"C46146 Halibut Bank",55,7.071,26,0.595426112376624,6.419,7.71
"C46146 Halibut Bank",56,6.976,26,0.673605714313241,6.184,7.781
"C46146 Halibut Bank",57,6.989,26,0.606095762760865,6.21,7.815
"C46146 Halibut Bank",58,7.011,26,0.603411387526235,6.244,7.804
"C46146 Halibut Bank",59,7.043,26,0.647699464467842,6.263,7.781
"C46146 Halibut Bank",60,7.108,26,0.61219709636455,6.521,7.91
"C46146 Halibut Bank",61,7.104,26,0.609452083602236,6.465,7.975
"C46146 Halibut Bank",62,7.189,26,0.606559911791075,6.416,8.056
"C46146 Halibut Bank",63,7.168,25,0.622389522115621,6.621,8.094
"C46146 Halibut Bank",64,7.156,25,0.623977817320665,6.51,8.172
"C46146 Halibut Bank",65,7.195,25,0.556862946157119,6.645,7.8
"C46146 Halibut Bank",66,7.286,25,0.626695177715253,6.707,8.154
"C46146 Halibut Bank",67,7.305,25,0.713836269359015,6.613,8.361
"C46146 Halibut Bank",68,7.282,25,0.703849585755705,6.583,8.186
"C46146 Halibut Bank",69,7.391,25,0.763270580906002,6.475,8.422
"C46146 Halibut Bank",70,7.496,25,0.750875897567477,6.668,8.271
"C46146 Halibut Bank",71,7.508,25,0.716920455532562,6.557,8.563
"C46146 Halibut Bank",72,7.61,25,0.697228409845412,6.747,8.63
"C46146 Halibut Bank",73,7.666,25,0.743763689304242,6.896,8.647
"C46146 Halibut Bank",74,7.868,25,0.734738842519183,7.021,9.012
"C46146 Halibut Bank",75,7.87,25,0.711430834655218,7.168,8.894
"C46146 Halibut Bank",76,7.851,25,0.713792069111357,7.028,8.679
"C46146 Halibut Bank",77,7.929,25,0.752986876428828,7.126,8.924
"C46146 Halibut Bank",78,8.002,25,0.78903469026765,7.151,9.014
"C46146 Halibut Bank",79,8.087,26,0.744239716763411,7.3,9.012
"C46146 Halibut Bank",80,8.104,26,0.762436874298126,7.402,9.266
"C46146 Halibut Bank",81,8.115,26,0.809879414900766,7.136,9.1
"C46146 Halibut Bank",82,8.171,25,0.858137385202949,7.196,9.168
"C46146 Halibut Bank",83,8.263,26,0.888116653623769,7.291,9.358
"C46146 Halibut Bank",84,8.306,26,0.822081629251401,7.343,9.121
"C46146 Halibut Bank",85,8.331,26,0.726801064398744,7.574,8.946
"C46146 Halibut Bank",86,8.447,26,0.79292948993501,7.573,9.348
"C46146 Halibut Bank",87,8.417,26,0.723795247245366,7.442,9.253
"C46146 Halibut Bank",88,8.45,26,0.783699693115096,7.537,9.577
"C46146 Halibut Bank",89,8.562,26,0.930405560437567,7.423,9.746
"C46146 Halibut Bank",90,8.696,26,0.940246303088254,7.5,9.758
"C46146 Halibut Bank",91,8.826,26,1.0141474308816,7.538,10.204
"C46146 Halibut Bank",92,8.929,26,1.04150190138798,7.755,10.157
"C46146 Halibut Bank",93,9.021,26,1.04634332781131,7.921,10.323
"C46146 Halibut Bank",94,9.1,26,1.06650526151947,7.82,10.532
"C46146 Halibut Bank",95,9.128,26,0.971149510476834,7.95,10.413
"C46146 Halibut Bank",96,9.027,26,0.70428498465854,8.348,10.039
"C46146 Halibut Bank",97,9.163,26,0.702149559230823,8.524,10.028
"C46146 Halibut Bank",98,9.286,26,0.825964152089169,8.48,10.154
"C46146 Halibut Bank",99,9.406,26,1.01777388116575,8.452,10.61
