"STN_ID","Day_of_Year","SSTP_clim_mean","SSTP_clim_n","SSTP_clim_sd","SSTP_clim_10_percentile","SSTP_clim_90_percentile"
"C46147 S. Moresby",1,8.435,24,0.727855338252081,7.661,9.36
"C46147 S. Moresby",2,8.409,24,0.732248193995788,7.702,9.472
"C46147 S. Moresby",3,8.384,25,0.746398546566153,7.636,9.538
"C46147 S. Moresby",4,8.391,24,0.761596790986809,7.545,9.494
"C46147 S. Moresby",5,8.359,25,0.716839978207033,7.507,9.402
"C46147 S. Moresby",6,8.373,25,0.724762026360593,7.564,9.386
"C46147 S. Moresby",7,8.412,25,0.779747700348937,7.576,9.461
"C46147 S. Moresby",8,8.373,25,0.708629452622343,7.581,9.345
"C46147 S. Moresby",9,8.312,24,0.717539212107805,7.555,9.331
"C46147 S. Moresby",10,8.313,23,0.72191037496433,7.524,9.314
"C46147 S. Moresby",11,8.31,24,0.698900476308126,7.576,9.348
"C46147 S. Moresby",12,8.319,25,0.71271479066608,7.529,9.327
"C46147 S. Moresby",13,8.357,25,0.716996817068375,7.51,9.373
"C46147 S. Moresby",14,8.347,25,0.718083566937299,7.497,9.336
"C46147 S. Moresby",15,8.294,25,0.712587428881136,7.507,9.24
"C46147 S. Moresby",16,8.287,25,0.715954268422523,7.525,9.187
"C46147 S. Moresby",17,8.289,25,0.714663823817887,7.522,9.265
"C46147 S. Moresby",18,8.3,25,0.705929805363799,7.517,9.204
"C46147 S. Moresby",19,8.287,25,0.695526437384187,7.521,9.213
"C46147 S. Moresby",20,8.232,25,0.698230760239273,7.538,9.154
"C46147 S. Moresby",21,8.232,25,0.69873220323352,7.517,9.118
"C46147 S. Moresby",22,8.222,25,0.693785375431375,7.479,9.127
"C46147 S. Moresby",23,8.227,25,0.717967773122932,7.444,9.124
"C46147 S. Moresby",24,8.179,25,0.71006089771437,7.45,9.12
"C46147 S. Moresby",25,8.143,25,0.730654178352491,7.388,9.109
"C46147 S. Moresby",26,8.121,25,0.763665808449891,7.365,9.177
"C46147 S. Moresby",27,8.143,25,0.735156594885089,7.481,9.228
