"STN_ID","Day_of_Year","SSTP_clim_mean","SSTP_clim_n","SSTP_clim_sd","SSTP_clim_10_percentile","SSTP_clim_90_percentile"
"C46181 Nanakwa Shoal",1,5.452,26,1.06934730314753,3.973,6.737
"C46181 Nanakwa Shoal",2,5.436,27,1.02733169422106,4.136,6.65
"C46181 Nanakwa Shoal",3,5.154,25,1.12166704172282,3.393,6.368
"C46181 Nanakwa Shoal",4,5.369,25,1.22278373539643,3.898,6.67
"C46181 Nanakwa Shoal",5,5.421,27,1.2296287489734,3.808,6.699
"C46181 Nanakwa Shoal",6,5.339,27,1.27167839996283,3.81,6.511
"C46181 Nanakwa Shoal",7,5.267,27,1.34200092964303,3.531,6.835
"C46181 Nanakwa Shoal",8,5.187,26,0.981364815169183,3.952,6.387
"C46181 Nanakwa Shoal",9,5.172,27,1.09809589719746,4.063,6.5
"C46181 Nanakwa Shoal",10,5.157,26,1.02076509057911,4.213,6.433
"C46181 Nanakwa Shoal",11,4.939,26,1.13091026196626,3.881,6.356
"C46181 Nanakwa Shoal",12,5.14,27,1.18456267686567,3.782,6.537
"C46181 Nanakwa Shoal",13,5.176,27,1.17569117298504,3.488,6.718
"C46181 Nanakwa Shoal",14,5.113,28,1.2568065651865,3.234,6.492
"C46181 Nanakwa Shoal",15,5.22,28,1.15887445613434,3.646,6.558
"C46181 Nanakwa Shoal",16,5.159,28,1.18599719518979,3.734,6.615
"C46181 Nanakwa Shoal",17,5.216,28,1.13528250802893,3.955,6.81
"C46181 Nanakwa Shoal",18,5.304,27,1.10557789473364,4,6.612
"C46181 Nanakwa Shoal",19,5.328,27,0.970486703932313,4.184,6.276
"C46181 Nanakwa Shoal",20,5.189,28,0.997177814238467,4.255,6.35
"C46181 Nanakwa Shoal",21,5.202,27,0.847172291540589,4.452,6.35
"C46181 Nanakwa Shoal",22,5.255,28,0.969781763473155,4.415,6.345
"C46181 Nanakwa Shoal",23,5.334,27,0.885375017476349,4.306,6.494
"C46181 Nanakwa Shoal",24,5.238,27,0.904899996181562,4.182,6.32
"C46181 Nanakwa Shoal",25,5.104,28,0.925006033747675,4.085,5.976
"C46181 Nanakwa Shoal",26,5.139,28,1.05715995915127,4.167,6.089
"C46181 Nanakwa Shoal",27,5.123,28,0.897298680312162,4.051,6.143
"C46181 Nanakwa Shoal",28,5.142,28,0.844456098026979,4.068,6.059
"C46181 Nanakwa Shoal",29,4.935,28,0.914833169136226,3.852,5.925
"C46181 Nanakwa Shoal",30,4.969,27,0.964553544498037,3.843,6.225
"C46181 Nanakwa Shoal",31,4.989,27,0.965940258792484,3.934,6.012
"C46181 Nanakwa Shoal",32,4.852,27,1.04999947475939,3.459,5.976
"C46181 Nanakwa Shoal",33,4.781,28,1.02734820943254,3.374,5.936
"C46181 Nanakwa Shoal",34,4.719,27,1.29563350109269,3.095,6.227
"C46181 Nanakwa Shoal",35,5.086,26,0.988188994405357,3.831,6.281
"C46181 Nanakwa Shoal",36,4.853,26,1.12001557951183,3.616,6.211
"C46181 Nanakwa Shoal",37,4.877,26,1.10244204569385,3.53,6.329
"C46181 Nanakwa Shoal",38,4.91,27,0.884299905323117,3.882,6.072
"C46181 Nanakwa Shoal",39,4.956,28,0.961783573819474,3.333,5.912
"C46181 Nanakwa Shoal",40,5.14,28,0.846143956860361,4.07,5.94
"C46181 Nanakwa Shoal",41,5.092,27,0.856127042027015,3.913,6.143
"C46181 Nanakwa Shoal",42,5.245,27,0.909785279316643,4.252,6.185
"C46181 Nanakwa Shoal",43,5.21,23,1.09112266500233,3.877,6.411
"C46181 Nanakwa Shoal",44,5.267,25,0.929749922055876,4.411,6.313
"C46181 Nanakwa Shoal",45,5.063,24,0.924243231601552,3.782,6.128
"C46181 Nanakwa Shoal",46,4.947,24,0.961074677649286,4.11,6.194
"C46181 Nanakwa Shoal",47,4.993,25,0.982635592003728,3.891,6.072
"C46181 Nanakwa Shoal",48,4.957,24,0.997660285687791,3.629,6.3
"C46181 Nanakwa Shoal",49,4.918,24,0.978377644435924,3.654,6.184
"C46181 Nanakwa Shoal",50,5.065,24,0.941297505026303,4.144,6.229
"C46181 Nanakwa Shoal",51,5.213,23,0.816903327376286,4.418,6.13
"C46181 Nanakwa Shoal",52,5.235,24,0.802205151953256,4.447,6.121
"C46181 Nanakwa Shoal",53,5.139,24,0.871178756926491,4.026,6.063
"C46181 Nanakwa Shoal",54,5.071,24,0.920872729669311,3.774,6.138
"C46181 Nanakwa Shoal",55,5.087,24,0.803465781852127,3.979,5.937
"C46181 Nanakwa Shoal",56,5.131,24,0.801327162320134,4.142,6.338
"C46181 Nanakwa Shoal",57,5.314,25,0.69023381872742,4.414,6.104
"C46181 Nanakwa Shoal",58,5.349,26,0.752632505446267,4.475,6.175
"C46181 Nanakwa Shoal",59,5.41,26,0.845558741843201,4.103,6.392
"C46181 Nanakwa Shoal",60,5.345,26,0.906753183995758,4.197,6.456
"C46181 Nanakwa Shoal",61,5.361,25,0.781279546489394,4.26,6.32
"C46181 Nanakwa Shoal",62,5.424,26,0.782790785443727,4.352,6.286
"C46181 Nanakwa Shoal",63,5.58,26,0.780910006267359,4.669,6.383
"C46181 Nanakwa Shoal",64,5.499,25,0.860352153676741,4.392,6.693
"C46181 Nanakwa Shoal",65,5.312,26,1.00228119881705,4.022,6.441
