"STN_ID","Day_of_Year","SSTP_clim_mean","SSTP_clim_n","SSTP_clim_sd","SSTP_clim_10_percentile","SSTP_clim_90_percentile"
"C46183 N. Hecate Strait",1,7.828,24,0.962231005078363,6.586,8.696
"C46183 N. Hecate Strait",2,7.797,25,0.87487122361145,6.902,8.709
"C46183 N. Hecate Strait",3,7.792,25,0.861737408660181,7.058,8.693
"C46183 N. Hecate Strait",4,7.827,24,0.916191151091359,7.122,8.845
"C46183 N. Hecate Strait",5,7.764,24,0.897842998498145,6.816,8.769
"C46183 N. Hecate Strait",6,7.8,24,0.825511210649534,6.714,8.806
"C46183 N. Hecate Strait",7,7.751,24,0.900017494055974,6.622,8.9
"C46183 N. Hecate Strait",8,7.584,25,1.02408956219588,6.492,8.746
"C46183 N. Hecate Strait",9,7.644,25,0.853767752585049,6.562,8.666
"C46183 N. Hecate Strait",10,7.606,25,0.89216279334829,6.644,8.643
"C46183 N. Hecate Strait",11,7.561,25,0.833996309552969,6.542,8.624
"C46183 N. Hecate Strait",12,7.53,25,0.805304326541357,6.439,8.617
"C46183 N. Hecate Strait",13,7.576,25,0.793272536709421,6.599,8.506
"C46183 N. Hecate Strait",14,7.582,24,0.911457456639883,6.579,8.688
"C46183 N. Hecate Strait",15,7.577,25,0.960382745513475,6.296,8.694
"C46183 N. Hecate Strait",16,7.563,24,0.884274922635852,6.516,8.588
"C46183 N. Hecate Strait",17,7.6,24,0.871893479667347,6.584,8.625
"C46183 N. Hecate Strait",18,7.533,24,0.830462659601178,6.557,8.672
"C46183 N. Hecate Strait",19,7.513,24,0.864609431446539,6.283,8.736
"C46183 N. Hecate Strait",20,7.527,25,0.835102321983556,6.353,8.563
"C46183 N. Hecate Strait",21,7.475,25,0.895668442263724,6.422,8.48
"C46183 N. Hecate Strait",22,7.463,26,0.890148551937341,6.439,8.465
"C46183 N. Hecate Strait",23,7.468,26,0.88469897908954,6.349,8.521
"C46183 N. Hecate Strait",24,7.465,26,0.899482076289484,6.237,8.577
"C46183 N. Hecate Strait",25,7.38,26,1.03707661227931,6.095,8.611
"C46183 N. Hecate Strait",26,7.441,25,0.914037995899555,6.239,8.67
"C46183 N. Hecate Strait",27,7.382,24,0.81621423371177,6.343,8.484
"C46183 N. Hecate Strait",28,7.419,24,0.786458797804163,6.383,8.455
"C46183 N. Hecate Strait",29,7.417,25,0.803442696153749,6.36,8.412
"C46183 N. Hecate Strait",30,7.394,25,0.822403799214894,6.45,8.493
"C46183 N. Hecate Strait",31,7.395,25,0.811923120836162,6.447,8.502
"C46183 N. Hecate Strait",32,7.388,25,0.807467258662467,6.537,8.432
"C46183 N. Hecate Strait",33,7.421,25,0.803868436491199,6.571,8.421
"C46183 N. Hecate Strait",34,7.448,25,0.741302712641093,6.734,8.377
"C46183 N. Hecate Strait",35,7.376,24,0.740578561828127,6.717,8.284
"C46183 N. Hecate Strait",36,7.387,25,0.672196096822063,6.665,8.152
"C46183 N. Hecate Strait",37,7.416,25,0.706794453713041,6.49,8.123
"C46183 N. Hecate Strait",38,7.389,25,0.716774848453948,6.506,8.055
"C46183 N. Hecate Strait",39,7.342,25,0.732435915508361,6.467,8.049
"C46183 N. Hecate Strait",40,7.358,25,0.752132882467309,6.49,7.993
