"STN_ID","Day_of_Year","SSTP_clim_mean","SSTP_clim_n","SSTP_clim_sd","SSTP_clim_10_percentile","SSTP_clim_90_percentile"
"C46184 N. NOMAD",1,6.73,26,0.915077330528832,5.733,7.883
"C46184 N. NOMAD",2,6.658,27,0.875676018402216,5.744,7.732
"C46184 N. NOMAD",3,6.614,27,0.879207001415615,5.711,7.743
"C46184 N. NOMAD",4,6.563,27,0.876455091251011,5.701,7.672
"C46184 N. NOMAD",5,6.502,28,0.870013953807617,5.533,7.64
"C46184 N. NOMAD",6,6.475,28,0.859784478679029,5.55,7.508
"C46184 N. NOMAD",7,6.453,28,0.861409355494198,5.492,7.445
"C46184 N. NOMAD",8,6.438,27,0.866414322471535,5.474,7.415
"C46184 N. NOMAD",9,6.438,26,0.864719274869917,5.459,7.461
"C46184 N. NOMAD",10,6.4,27,0.852370545265572,5.466,7.408
"C46184 N. NOMAD",11,6.354,28,0.853129487209322,5.331,7.332
"C46184 N. NOMAD",12,6.36,27,0.871825889645892,5.297,7.309
"C46184 N. NOMAD",13,6.348,27,0.873780986984751,5.28,7.283
"C46184 N. NOMAD",14,6.336,27,0.896850453388402,5.236,7.368
"C46184 N. NOMAD",15,6.31,27,0.917895321814552,5.163,7.414
"C46184 N. NOMAD",16,6.317,27,0.923181905991079,5.142,7.395
"C46184 N. NOMAD",17,6.308,27,0.925726277916153,5.138,7.397
"C46184 N. NOMAD",18,6.285,26,0.928613960486113,5.096,7.358
"C46184 N. NOMAD",19,6.257,26,0.957346300685285,5.037,7.357
"C46184 N. NOMAD",20,6.232,26,0.954953826127269,5.047,7.316
"C46184 N. NOMAD",21,6.191,26,0.955526910424319,4.992,7.294
"C46184 N. NOMAD",22,6.179,26,0.935112122014089,4.948,7.221
"C46184 N. NOMAD",23,6.154,26,0.937281034837671,5.039,7.242
"C46184 N. NOMAD",24,6.098,25,0.92685605179307,5.09,6.969
"C46184 N. NOMAD",25,6.076,25,0.918513234635201,5.023,6.915
"C46184 N. NOMAD",26,6.091,26,0.936227436884633,5.035,7.15
"C46184 N. NOMAD",27,6.077,27,0.923177911974309,5.06,7.1
"C46184 N. NOMAD",28,6.036,27,0.943879352464887,4.937,7.1
