"STN_ID","Day_of_Year","SSTP_clim_mean","SSTP_clim_n","SSTP_clim_10_percentile","SSTP_clim_90_percentile"
"C46185 S. Hecate Strait",1,8.41,24,7.188,9.373
"C46185 S. Hecate Strait",2,8.322,24,7.125,9.404
"C46185 S. Hecate Strait",3,8.331,24,7.118,9.416
"C46185 S. Hecate Strait",4,8.239,25,6.917,9.203
"C46185 S. Hecate Strait",5,8.182,25,6.992,9.248
"C46185 S. Hecate Strait",6,8.14,25,6.954,9.248
"C46185 S. Hecate Strait",7,8.18,25,7.218,9.243
"C46185 S. Hecate Strait",8,8.205,25,7.292,9.252
"C46185 S. Hecate Strait",9,8.189,24,7.298,9.063
"C46185 S. Hecate Strait",10,8.069,24,7.112,9.025
"C46185 S. Hecate Strait",11,8.121,23,7.037,9.074
"C46185 S. Hecate Strait",12,8.173,26,7.239,9.074
"C46185 S. Hecate Strait",13,8.182,26,7.115,9.106
"C46185 S. Hecate Strait",14,8.176,26,6.934,9.143
"C46185 S. Hecate Strait",15,8.104,26,6.849,9.1
"C46185 S. Hecate Strait",16,8.046,27,7.112,9.003
"C46185 S. Hecate Strait",17,8.059,26,7.117,9.012
"C46185 S. Hecate Strait",18,8.036,26,6.917,9.117
"C46185 S. Hecate Strait",19,7.981,25,7.125,9.075
"C46185 S. Hecate Strait",20,7.945,27,6.897,8.92
"C46185 S. Hecate Strait",21,8.065,26,6.94,9.073
"C46185 S. Hecate Strait",22,7.994,27,6.771,9.058
"C46185 S. Hecate Strait",23,7.941,25,6.702,9.083
"C46185 S. Hecate Strait",24,7.949,26,6.598,9.059
"C46185 S. Hecate Strait",25,7.988,26,6.679,9.173
"C46185 S. Hecate Strait",26,7.94,27,6.644,9.13
"C46185 S. Hecate Strait",27,7.997,26,6.731,9.144
"C46185 S. Hecate Strait",28,7.97,27,6.91,9.112
"C46185 S. Hecate Strait",29,8.007,26,6.89,9.117
"C46185 S. Hecate Strait",30,7.992,27,6.792,9.068
"C46185 S. Hecate Strait",31,7.912,26,6.644,9.072
"C46185 S. Hecate Strait",32,7.968,27,6.615,9.139
"C46185 S. Hecate Strait",33,7.946,26,6.552,9.16
"C46185 S. Hecate Strait",34,7.939,27,6.58,9.127
"C46185 S. Hecate Strait",35,7.986,26,6.655,9.015
"C46185 S. Hecate Strait",36,8.009,26,6.83,8.956
"C46185 S. Hecate Strait",37,8.028,27,6.914,9.017
"C46185 S. Hecate Strait",38,7.947,26,6.751,8.949
"C46185 S. Hecate Strait",39,7.975,26,6.756,8.939
"C46185 S. Hecate Strait",40,7.955,26,6.738,8.921
"C46185 S. Hecate Strait",41,7.838,25,6.591,8.852
"C46185 S. Hecate Strait",42,7.875,28,6.671,8.845
"C46185 S. Hecate Strait",43,7.855,27,6.562,8.858
"C46185 S. Hecate Strait",44,7.786,28,6.642,8.892
"C46185 S. Hecate Strait",45,7.924,26,6.854,8.883
"C46185 S. Hecate Strait",46,7.854,27,6.606,8.94
"C46185 S. Hecate Strait",47,7.906,26,6.768,8.925
"C46185 S. Hecate Strait",48,7.818,27,6.662,8.842
"C46185 S. Hecate Strait",49,7.861,26,6.742,8.894
"C46185 S. Hecate Strait",50,7.843,26,6.623,8.976
"C46185 S. Hecate Strait",51,7.889,25,6.671,8.971
"C46185 S. Hecate Strait",52,7.743,27,6.595,8.941
"C46185 S. Hecate Strait",53,7.77,26,6.584,8.89
"C46185 S. Hecate Strait",54,7.689,27,6.547,8.873
"C46185 S. Hecate Strait",55,7.714,26,6.625,8.899
"C46185 S. Hecate Strait",56,7.658,27,6.494,9.046
"C46185 S. Hecate Strait",57,7.703,26,6.535,9.108
"C46185 S. Hecate Strait",58,7.675,27,6.358,9.051
"C46185 S. Hecate Strait",59,7.693,27,6.521,8.97
"C46185 S. Hecate Strait",60,7.67,28,6.527,8.897
"C46185 S. Hecate Strait",61,7.693,27,6.543,8.931
"C46185 S. Hecate Strait",62,7.608,28,6.407,8.747
