"STN_ID","Day_of_Year","SSTP_clim_mean","SSTP_clim_n","SSTP_clim_10_percentile","SSTP_clim_90_percentile"
"C46204 W. Sea Otter",1,8.558,26,7.744,9.287
"C46204 W. Sea Otter",2,8.524,25,7.665,9.341
"C46204 W. Sea Otter",3,8.493,26,7.763,9.339
"C46204 W. Sea Otter",4,8.447,26,7.698,9.14
"C46204 W. Sea Otter",5,8.384,27,7.535,9.214
"C46204 W. Sea Otter",6,8.357,27,7.629,9.067
"C46204 W. Sea Otter",7,8.325,27,7.636,9.033
"C46204 W. Sea Otter",8,8.284,27,7.583,8.769
"C46204 W. Sea Otter",9,8.286,26,7.58,8.797
"C46204 W. Sea Otter",10,8.251,26,7.45,8.769
"C46204 W. Sea Otter",11,8.296,26,7.562,8.873
"C46204 W. Sea Otter",12,8.253,27,7.575,8.963
"C46204 W. Sea Otter",13,8.292,27,7.551,9.057
"C46204 W. Sea Otter",14,8.265,27,7.523,8.969
"C46204 W. Sea Otter",15,8.227,27,7.406,8.925
"C46204 W. Sea Otter",16,8.197,27,7.343,8.947
"C46204 W. Sea Otter",17,8.243,27,7.432,8.98
"C46204 W. Sea Otter",18,8.244,26,7.441,8.978
"C46204 W. Sea Otter",19,8.267,26,7.483,9.01
"C46204 W. Sea Otter",20,8.244,27,7.473,8.947
"C46204 W. Sea Otter",21,8.283,26,7.438,9.043
"C46204 W. Sea Otter",22,8.169,27,7.276,8.891
"C46204 W. Sea Otter",23,8.156,26,7.46,8.748
"C46204 W. Sea Otter",24,8.177,26,7.459,8.838
"C46204 W. Sea Otter",25,8.15,26,7.391,8.901
"C46204 W. Sea Otter",26,8.113,26,7.05,8.787
"C46204 W. Sea Otter",27,8.157,27,7.184,8.93
"C46204 W. Sea Otter",28,8.131,26,7.235,8.899
"C46204 W. Sea Otter",29,8.136,27,7.206,8.91
"C46204 W. Sea Otter",30,8.112,27,7.14,9.038
"C46204 W. Sea Otter",31,7.939,26,6.722,8.798
"C46204 W. Sea Otter",32,7.889,26,6.59,8.823
"C46204 W. Sea Otter",33,7.958,27,6.765,8.953
"C46204 W. Sea Otter",34,8.082,25,7.163,9.25
"C46204 W. Sea Otter",35,8.089,25,7.405,9.127
"C46204 W. Sea Otter",36,8.09,25,7.413,9.144
"C46204 W. Sea Otter",37,8.065,25,7.485,8.891
"C46204 W. Sea Otter",38,7.995,26,7.295,8.7
"C46204 W. Sea Otter",39,7.972,27,7.229,8.766
"C46204 W. Sea Otter",40,7.92,26,7.057,8.637
"C46204 W. Sea Otter",41,8.025,26,7.376,8.769
"C46204 W. Sea Otter",42,7.968,27,7.15,8.84
"C46204 W. Sea Otter",43,7.945,27,7.059,8.823
"C46204 W. Sea Otter",44,7.96,27,7.155,8.872
"C46204 W. Sea Otter",45,7.976,27,7.138,8.783
"C46204 W. Sea Otter",46,7.986,26,7.124,8.99
"C46204 W. Sea Otter",47,7.941,25,7.133,8.971
"C46204 W. Sea Otter",48,7.881,27,6.973,8.813
"C46204 W. Sea Otter",49,7.897,27,7.146,8.78
"C46204 W. Sea Otter",50,7.885,25,6.989,9.165
"C46204 W. Sea Otter",51,7.865,25,7.024,9.043
"C46204 W. Sea Otter",52,7.881,26,7.118,9.035
"C46204 W. Sea Otter",53,7.781,26,7.083,8.775
"C46204 W. Sea Otter",54,7.737,26,6.806,8.83
"C46204 W. Sea Otter",55,7.736,26,6.821,8.955
"C46204 W. Sea Otter",56,7.746,25,6.997,8.848
"C46204 W. Sea Otter",57,7.762,25,6.993,8.948
"C46204 W. Sea Otter",58,7.707,25,6.867,8.782
"C46204 W. Sea Otter",59,7.714,25,6.861,9.031
"C46204 W. Sea Otter",60,7.781,25,6.849,8.981
"C46204 W. Sea Otter",61,7.833,24,6.855,9.171
"C46204 W. Sea Otter",62,7.74,25,6.881,8.954
"C46204 W. Sea Otter",63,7.822,26,6.956,8.965
"C46204 W. Sea Otter",64,7.674,26,6.885,8.901
"C46204 W. Sea Otter",65,7.698,26,6.869,8.775
"C46204 W. Sea Otter",66,7.641,26,6.64,8.79
"C46204 W. Sea Otter",67,7.682,26,6.981,8.769
"C46204 W. Sea Otter",68,7.706,26,7.004,8.727
"C46204 W. Sea Otter",69,7.744,26,6.917,8.794
"C46204 W. Sea Otter",70,7.741,26,6.868,8.898
"C46204 W. Sea Otter",71,7.769,26,6.88,8.871
"C46204 W. Sea Otter",72,7.8,26,7.026,8.915
"C46204 W. Sea Otter",73,7.79,26,6.868,8.954
"C46204 W. Sea Otter",74,7.814,26,6.989,8.896
"C46204 W. Sea Otter",75,7.815,26,6.89,8.817
"C46204 W. Sea Otter",76,7.849,25,6.788,8.769
"C46204 W. Sea Otter",77,7.818,26,6.725,8.817
"C46204 W. Sea Otter",78,7.857,26,6.754,8.915
"C46204 W. Sea Otter",79,7.887,26,6.767,9.027
"C46204 W. Sea Otter",80,7.943,26,6.783,9.158
