"STN_ID","Day_of_Year","SSTP_clim_mean","SSTP_clim_n","SSTP_clim_10_percentile","SSTP_clim_90_percentile"
"C46205 W. Dixon Entrance",1,7.67,23,6.608,8.616
"C46205 W. Dixon Entrance",2,7.611,22,6.453,8.59
"C46205 W. Dixon Entrance",3,7.642,22,6.65,8.583
"C46205 W. Dixon Entrance",4,7.579,22,6.581,8.602
"C46205 W. Dixon Entrance",5,7.472,23,6.538,8.596
"C46205 W. Dixon Entrance",6,7.495,23,6.423,8.549
"C46205 W. Dixon Entrance",7,7.517,23,6.425,8.566
"C46205 W. Dixon Entrance",8,7.478,23,6.508,8.553
"C46205 W. Dixon Entrance",9,7.472,22,6.629,8.499
"C46205 W. Dixon Entrance",10,7.459,22,6.664,8.476
"C46205 W. Dixon Entrance",11,7.456,22,6.608,8.409
"C46205 W. Dixon Entrance",12,7.425,23,6.623,8.349
"C46205 W. Dixon Entrance",13,7.442,23,6.642,8.273
"C46205 W. Dixon Entrance",14,7.454,23,6.616,8.316
"C46205 W. Dixon Entrance",15,7.447,23,6.606,8.451
"C46205 W. Dixon Entrance",16,7.44,23,6.573,8.413
"C46205 W. Dixon Entrance",17,7.439,23,6.682,8.454
"C46205 W. Dixon Entrance",18,7.426,22,6.678,8.418
"C46205 W. Dixon Entrance",19,7.441,22,6.625,8.388
"C46205 W. Dixon Entrance",20,7.456,23,6.567,8.423
"C46205 W. Dixon Entrance",21,7.439,23,6.523,8.404
"C46205 W. Dixon Entrance",22,7.424,23,6.47,8.469
"C46205 W. Dixon Entrance",23,7.346,22,6.329,8.129
"C46205 W. Dixon Entrance",24,7.392,22,6.313,8.201
"C46205 W. Dixon Entrance",25,7.45,23,6.407,8.256
"C46205 W. Dixon Entrance",26,7.423,23,6.315,8.328
"C46205 W. Dixon Entrance",27,7.382,23,6.538,8.296
"C46205 W. Dixon Entrance",28,7.353,23,6.324,8.339
"C46205 W. Dixon Entrance",29,7.388,23,6.401,8.49
"C46205 W. Dixon Entrance",30,7.373,23,6.416,8.373
"C46205 W. Dixon Entrance",31,7.35,23,6.418,8.353
"C46205 W. Dixon Entrance",32,7.372,23,6.407,8.456
"C46205 W. Dixon Entrance",33,7.427,23,6.498,8.475
"C46205 W. Dixon Entrance",34,7.392,23,6.503,8.474
"C46205 W. Dixon Entrance",35,7.3,22,6.453,8.166
"C46205 W. Dixon Entrance",36,7.241,22,6.465,8.183
"C46205 W. Dixon Entrance",37,7.251,22,6.438,8.193
"C46205 W. Dixon Entrance",38,7.201,22,6.38,8.159
"C46205 W. Dixon Entrance",39,7.261,23,6.373,8.187
"C46205 W. Dixon Entrance",40,7.283,23,6.208,8.373
"C46205 W. Dixon Entrance",41,7.284,23,6.471,8.174
"C46205 W. Dixon Entrance",42,7.308,23,6.456,8.299
"C46205 W. Dixon Entrance",43,7.355,23,6.382,8.455
"C46205 W. Dixon Entrance",44,7.364,23,6.476,8.641
"C46205 W. Dixon Entrance",45,7.304,23,6.346,8.62
"C46205 W. Dixon Entrance",46,7.283,23,6.339,8.638
"C46205 W. Dixon Entrance",47,7.237,23,6.325,8.355
"C46205 W. Dixon Entrance",48,7.246,23,6.476,8.164
"C46205 W. Dixon Entrance",49,7.269,23,6.557,8.26
"C46205 W. Dixon Entrance",50,7.191,22,6.561,8.304
"C46205 W. Dixon Entrance",51,7.204,22,6.484,8.188
"C46205 W. Dixon Entrance",52,7.132,23,6.299,8.029
"C46205 W. Dixon Entrance",53,7.163,23,6.341,8.063
"C46205 W. Dixon Entrance",54,7.083,24,6.165,8.143
"C46205 W. Dixon Entrance",55,7.065,24,6.174,8.311
"C46205 W. Dixon Entrance",56,7.05,24,6.114,8.401
"C46205 W. Dixon Entrance",57,7.083,24,6.12,8.398
"C46205 W. Dixon Entrance",58,7.043,24,6.04,8.402
"C46205 W. Dixon Entrance",59,7.034,24,6.018,8.19
"C46205 W. Dixon Entrance",60,7.024,26,6.041,7.976
"C46205 W. Dixon Entrance",61,6.974,25,6.04,7.877
"C46205 W. Dixon Entrance",62,6.985,25,6.108,7.95
"C46205 W. Dixon Entrance",63,6.955,25,5.933,7.976
"C46205 W. Dixon Entrance",64,6.937,25,5.992,7.86
"C46205 W. Dixon Entrance",65,6.889,25,5.961,7.771
"C46205 W. Dixon Entrance",66,6.933,25,6.085,7.828
"C46205 W. Dixon Entrance",67,6.989,25,6.079,8.053
"C46205 W. Dixon Entrance",68,6.994,25,6.02,7.909
"C46205 W. Dixon Entrance",69,7.009,26,6.033,8.065
"C46205 W. Dixon Entrance",70,7.021,25,6.113,8.187
"C46205 W. Dixon Entrance",71,7.048,26,6.2,8.151
"C46205 W. Dixon Entrance",72,7.058,26,6.238,7.883
"C46205 W. Dixon Entrance",73,7.039,25,6.225,7.903
"C46205 W. Dixon Entrance",74,7.059,25,6.163,8.131
"C46205 W. Dixon Entrance",75,7.027,26,6.188,8
"C46205 W. Dixon Entrance",76,7.074,24,6.092,8.233
"C46205 W. Dixon Entrance",77,7.051,25,6.24,8.142
"C46205 W. Dixon Entrance",78,7.082,25,6.158,8.163
"C46205 W. Dixon Entrance",79,7.013,25,5.974,8.354
"C46205 W. Dixon Entrance",80,7.031,26,6.035,8.231
"C46205 W. Dixon Entrance",81,7.033,26,5.985,8.573
"C46205 W. Dixon Entrance",82,7.055,24,6.087,8.587
"C46205 W. Dixon Entrance",83,7.094,25,6.324,8.565
"C46205 W. Dixon Entrance",84,7.035,26,6.229,8.179
"C46205 W. Dixon Entrance",85,7.028,25,6.242,7.856
"C46205 W. Dixon Entrance",86,7.098,25,6.337,7.927
"C46205 W. Dixon Entrance",87,7.099,25,6.318,7.832
"C46205 W. Dixon Entrance",88,7.183,24,6.438,8.052
"C46205 W. Dixon Entrance",89,7.211,24,6.476,8.04
"C46205 W. Dixon Entrance",90,7.124,24,6.361,8.035
"C46205 W. Dixon Entrance",91,7.081,25,6.343,7.814
"C46205 W. Dixon Entrance",92,7.11,25,6.347,7.867
