"STN_ID","Day_of_Year","SSTP_clim_mean","SSTP_clim_n","SSTP_clim_sd","SSTP_clim_10_percentile","SSTP_clim_90_percentile"
"C46207 E. Dellwood Knolls",1,8.693,28,0.815455865543338,7.59,9.691
"C46207 E. Dellwood Knolls",2,8.696,26,0.806563778349577,7.756,9.727
"C46207 E. Dellwood Knolls",3,8.659,26,0.769708616478073,7.676,9.564
"C46207 E. Dellwood Knolls",4,8.579,26,0.75880352656321,7.61,9.409
"C46207 E. Dellwood Knolls",5,8.582,27,0.704510345094477,7.742,9.336
"C46207 E. Dellwood Knolls",6,8.564,28,0.689721022261211,7.749,9.203
"C46207 E. Dellwood Knolls",7,8.527,28,0.677396255320726,7.696,9.333
"C46207 E. Dellwood Knolls",8,8.537,28,0.709328978055826,7.694,9.34
"C46207 E. Dellwood Knolls",9,8.524,27,0.68454619592493,7.624,9.224
"C46207 E. Dellwood Knolls",10,8.452,27,0.692811931366472,7.612,9.071
"C46207 E. Dellwood Knolls",11,8.47,27,0.760390876341249,7.573,9.246
"C46207 E. Dellwood Knolls",12,8.461,28,0.753958831657321,7.623,9.404
"C46207 E. Dellwood Knolls",13,8.449,28,0.763985677277856,7.427,9.475
"C46207 E. Dellwood Knolls",14,8.454,28,0.746215968099712,7.618,9.562
"C46207 E. Dellwood Knolls",15,8.449,28,0.769505877542043,7.561,9.465
"C46207 E. Dellwood Knolls",16,8.453,28,0.775297911417641,7.569,9.362
"C46207 E. Dellwood Knolls",17,8.447,28,0.811031160510785,7.535,9.55
"C46207 E. Dellwood Knolls",18,8.454,27,0.851764174048155,7.498,9.471
"C46207 E. Dellwood Knolls",19,8.428,27,0.820249470794073,7.452,9.28
"C46207 E. Dellwood Knolls",20,8.373,28,0.820139920044679,7.394,9.268
"C46207 E. Dellwood Knolls",21,8.356,28,0.809215904983647,7.29,9.491
"C46207 E. Dellwood Knolls",22,8.437,28,0.795264762185623,7.343,9.472
"C46207 E. Dellwood Knolls",23,8.404,27,0.807495170907794,7.338,9.31
"C46207 E. Dellwood Knolls",24,8.335,27,0.799117916678027,7.307,9.339
"C46207 E. Dellwood Knolls",25,8.333,28,0.801608853134768,7.33,9.354
"C46207 E. Dellwood Knolls",26,8.265,28,0.812684875893779,7.214,9.316
"C46207 E. Dellwood Knolls",27,8.277,28,0.704425185585614,7.411,9.31
"C46207 E. Dellwood Knolls",28,8.269,28,0.704407871698855,7.423,9.296
"C46207 E. Dellwood Knolls",29,8.296,28,0.781910447808405,7.286,9.352
"C46207 E. Dellwood Knolls",30,8.285,28,0.767337252408308,7.3,9.377
"C46207 E. Dellwood Knolls",31,8.309,28,0.79340185650605,7.201,9.329
"C46207 E. Dellwood Knolls",32,8.247,30,0.729317059970801,7.266,9.305
"C46207 E. Dellwood Knolls",33,8.276,30,0.756566569309995,7.345,9.18
"C46207 E. Dellwood Knolls",34,8.264,30,0.731653833876726,7.401,9.154
"C46207 E. Dellwood Knolls",35,8.229,29,0.745675210501064,7.358,9.05
"C46207 E. Dellwood Knolls",36,8.148,29,0.724576268700122,7.191,9.012
"C46207 E. Dellwood Knolls",37,8.165,29,0.740276662841541,7.286,9.191
"C46207 E. Dellwood Knolls",38,8.224,29,0.744782666962372,7.384,9.136
"C46207 E. Dellwood Knolls",39,8.249,30,0.72601708777339,7.416,9.21
"C46207 E. Dellwood Knolls",40,8.272,30,0.734195466500199,7.463,9.157
"C46207 E. Dellwood Knolls",41,8.234,29,0.777992378871243,7.356,9.092
"C46207 E. Dellwood Knolls",42,8.294,29,0.762726651946307,7.406,9.139
"C46207 E. Dellwood Knolls",43,8.271,30,0.730886802927119,7.34,8.984
"C46207 E. Dellwood Knolls",44,8.231,30,0.73680725426098,7.367,9.167
"C46207 E. Dellwood Knolls",45,8.177,30,0.705241877007137,7.385,8.978
"C46207 E. Dellwood Knolls",46,8.132,30,0.642449939155252,7.411,8.922
"C46207 E. Dellwood Knolls",47,8.157,30,0.713369734611623,7.404,9.027
"C46207 E. Dellwood Knolls",48,8.145,30,0.680263664270514,7.552,8.96
"C46207 E. Dellwood Knolls",49,8.183,29,0.764067741966442,7.44,9.172
"C46207 E. Dellwood Knolls",50,8.164,29,0.720350350342222,7.522,9.172
"C46207 E. Dellwood Knolls",51,8.135,29,0.682136529346474,7.459,9.102
"C46207 E. Dellwood Knolls",52,8.144,30,0.655302419939072,7.411,8.945
"C46207 E. Dellwood Knolls",53,8.099,30,0.683697149784613,7.45,8.916
"C46207 E. Dellwood Knolls",54,8.076,30,0.725983194897056,7.34,9.034
"C46207 E. Dellwood Knolls",55,8.096,30,0.763263491632581,7.257,9.031
"C46207 E. Dellwood Knolls",56,8.129,30,0.811343689732462,7.209,8.873
"C46207 E. Dellwood Knolls",57,8.119,30,0.767531306481424,7.331,9.132
"C46207 E. Dellwood Knolls",58,8.105,30,0.83552935605486,7.299,9.209
"C46207 E. Dellwood Knolls",59,8.091,30,0.820715616924769,7.182,9.175
"C46207 E. Dellwood Knolls",60,8.079,30,0.80906885674315,7.125,9.105
"C46207 E. Dellwood Knolls",61,8.105,30,0.811295130569387,7.126,9.209
"C46207 E. Dellwood Knolls",62,8.089,30,0.851588894105639,7.23,9.203
"C46207 E. Dellwood Knolls",63,8.039,30,0.826858114574027,7.053,9.188
"C46207 E. Dellwood Knolls",64,8.035,30,0.80736643641042,7.127,9.245
"C46207 E. Dellwood Knolls",65,8.029,30,0.817130557817207,7.118,9.286
"C46207 E. Dellwood Knolls",66,7.994,30,0.851620732230729,7.017,9.302
"C46207 E. Dellwood Knolls",67,7.992,30,0.837313046932266,6.977,9.255
"C46207 E. Dellwood Knolls",68,8.018,30,0.849696707019914,6.919,9.25
"C46207 E. Dellwood Knolls",69,8,30,0.77553295983772,7.137,9.185
"C46207 E. Dellwood Knolls",70,8.043,30,0.829714150331742,7.099,9.248
"C46207 E. Dellwood Knolls",71,8.037,30,0.846741402571702,7.037,9.295
"C46207 E. Dellwood Knolls",72,8.065,30,0.833884660453456,7.043,9.445
"C46207 E. Dellwood Knolls",73,8.107,29,0.832308932805847,7.157,9.453
"C46207 E. Dellwood Knolls",74,8.128,29,0.852397825697439,7.312,9.682
"C46207 E. Dellwood Knolls",75,8.115,29,0.86646277120154,7.115,9.642
"C46207 E. Dellwood Knolls",76,8.118,28,0.878233168153201,7.089,9.635
"C46207 E. Dellwood Knolls",77,8.09,29,0.847656416839812,7.094,9.534
"C46207 E. Dellwood Knolls",78,8.133,29,0.820785479437953,7.073,9.249
"C46207 E. Dellwood Knolls",79,8.113,29,0.7843813679944,7.253,9.15
"C46207 E. Dellwood Knolls",80,8.111,29,0.818056117448191,7.275,9.217
"C46207 E. Dellwood Knolls",81,8.118,29,0.846000363034088,7.162,9.434
"C46207 E. Dellwood Knolls",82,8.112,28,0.816478154898122,7.169,9.34
"C46207 E. Dellwood Knolls",83,8.138,29,0.831244238396752,7.121,9.257
"C46207 E. Dellwood Knolls",84,8.198,29,0.830084765687437,7.205,9.21
"C46207 E. Dellwood Knolls",85,8.201,29,0.791870468288373,7.112,9.338
"C46207 E. Dellwood Knolls",86,8.228,29,0.769300942365421,7.338,9.33
"C46207 E. Dellwood Knolls",87,8.21,29,0.816724916507432,7.327,9.319
"C46207 E. Dellwood Knolls",88,8.271,28,0.830230608663339,7.272,9.586
"C46207 E. Dellwood Knolls",89,8.228,28,0.816426382804729,7.182,9.398
"C46207 E. Dellwood Knolls",90,8.314,28,0.856825183559275,7.136,9.715
"C46207 E. Dellwood Knolls",91,8.3,29,0.844514236898635,7.098,9.656
"C46207 E. Dellwood Knolls",92,8.334,29,0.834191734813652,7.11,9.675
"C46207 E. Dellwood Knolls",93,8.391,29,0.861316991470551,7.447,9.836
"C46207 E. Dellwood Knolls",94,8.4,29,0.823698906029956,7.45,9.731
"C46207 E. Dellwood Knolls",95,8.392,29,0.848125140671035,7.364,9.753
"C46207 E. Dellwood Knolls",96,8.393,29,0.812684943193478,7.297,9.726
"C46207 E. Dellwood Knolls",97,8.45,28,0.789232526809037,7.474,9.658
"C46207 E. Dellwood Knolls",98,8.478,28,0.74805992086495,7.552,9.552
"C46207 E. Dellwood Knolls",99,8.486,28,0.826187189222224,7.395,9.669
"C46207 E. Dellwood Knolls",100,8.474,28,0.773035370946881,7.516,9.485
"C46207 E. Dellwood Knolls",101,8.472,28,0.788255054479752,7.55,9.729
"C46207 E. Dellwood Knolls",102,8.548,28,0.779356254453806,7.52,9.811
"C46207 E. Dellwood Knolls",103,8.556,28,0.756556176554285,7.625,9.635
"C46207 E. Dellwood Knolls",104,8.576,28,0.759315193877187,7.67,9.501
"C46207 E. Dellwood Knolls",105,8.601,28,0.789155585049013,7.661,9.707
"C46207 E. Dellwood Knolls",106,8.621,27,0.771837763642158,7.662,9.62
"C46207 E. Dellwood Knolls",107,8.592,27,0.732674635570188,7.688,9.511
"C46207 E. Dellwood Knolls",108,8.623,26,0.707273804885979,7.662,9.32
"C46207 E. Dellwood Knolls",109,8.652,27,0.727172173143653,7.603,9.439
"C46207 E. Dellwood Knolls",110,8.687,27,0.778890974802884,7.561,9.498
"C46207 E. Dellwood Knolls",111,8.682,27,0.759576183815263,7.437,9.585
"C46207 E. Dellwood Knolls",112,8.739,27,0.751911121437392,7.531,9.535
"C46207 E. Dellwood Knolls",113,8.825,27,0.75461463968912,7.916,9.722
"C46207 E. Dellwood Knolls",114,8.891,27,0.776926222065606,7.852,9.751
"C46207 E. Dellwood Knolls",115,8.991,28,0.78692550453714,7.95,9.929
"C46207 E. Dellwood Knolls",116,9,28,0.799373400110644,7.99,10.061
"C46207 E. Dellwood Knolls",117,8.924,27,0.834362841069646,7.963,10.057
"C46207 E. Dellwood Knolls",118,9.004,27,0.914783870249288,7.949,10.172
"C46207 E. Dellwood Knolls",119,9.096,28,0.983530346824175,7.781,10.265
"C46207 E. Dellwood Knolls",120,9.139,28,0.879397362526586,8.101,10.378
"C46207 E. Dellwood Knolls",121,9.199,28,0.815877874623853,8.089,10.229
"C46207 E. Dellwood Knolls",122,9.225,28,0.758451435734181,8.135,10.113
"C46207 E. Dellwood Knolls",123,9.255,28,0.772418420226385,8.369,10.199
"C46207 E. Dellwood Knolls",124,9.351,28,0.822500415346501,8.312,10.288
"C46207 E. Dellwood Knolls",125,9.364,28,0.896889052251648,8.216,10.391
"C46207 E. Dellwood Knolls",126,9.509,28,0.983294954894076,8.28,10.649
"C46207 E. Dellwood Knolls",127,9.546,28,0.995329882637093,8.232,10.777
