"STN_ID","Day_of_Year","SSTP_clim_mean","SSTP_clim_n","SSTP_clim_10_percentile","SSTP_clim_90_percentile"
"C46208 W. Moresby",1,8.1,24,7.175,8.996
"C46208 W. Moresby",2,8.079,24,7.207,9.009
"C46208 W. Moresby",3,8.063,25,7.14,9.118
"C46208 W. Moresby",4,8.014,24,7.043,9.233
"C46208 W. Moresby",5,7.987,25,7.022,9.088
"C46208 W. Moresby",6,7.973,26,7.004,9.037
"C46208 W. Moresby",7,7.977,25,6.994,8.896
"C46208 W. Moresby",8,7.963,25,6.998,8.976
"C46208 W. Moresby",9,7.885,25,6.973,8.916
"C46208 W. Moresby",10,7.912,25,7.091,8.953
"C46208 W. Moresby",11,7.854,24,7.003,8.88
"C46208 W. Moresby",12,7.905,24,7.009,8.941
"C46208 W. Moresby",13,7.844,25,6.85,8.902
"C46208 W. Moresby",14,7.882,24,6.915,8.942
"C46208 W. Moresby",15,7.966,23,6.89,8.947
"C46208 W. Moresby",16,7.919,24,6.935,8.869
"C46208 W. Moresby",17,7.892,24,6.953,8.93
"C46208 W. Moresby",18,7.927,22,6.856,9.09
"C46208 W. Moresby",19,7.906,23,6.815,9.049
"C46208 W. Moresby",20,7.901,23,6.818,9.072
"C46208 W. Moresby",21,7.858,24,6.84,9.104
"C46208 W. Moresby",22,7.817,24,6.734,9.034
"C46208 W. Moresby",23,7.747,23,6.713,8.782
"C46208 W. Moresby",24,7.74,23,6.733,8.828
"C46208 W. Moresby",25,7.824,23,6.665,9.074
"C46208 W. Moresby",26,7.764,24,6.648,9.042
"C46208 W. Moresby",27,7.761,25,6.681,9.015
"C46208 W. Moresby",28,7.741,24,6.56,9.003
"C46208 W. Moresby",29,7.729,23,6.551,8.979
"C46208 W. Moresby",30,7.628,23,6.477,8.852
"C46208 W. Moresby",31,7.664,22,6.554,8.948
"C46208 W. Moresby",32,7.632,22,6.538,9.01
"C46208 W. Moresby",33,7.71,24,6.896,8.881
"C46208 W. Moresby",34,7.725,24,6.741,8.84
"C46208 W. Moresby",35,7.726,22,6.623,8.845
"C46208 W. Moresby",36,7.733,22,6.509,8.839
"C46208 W. Moresby",37,7.784,22,6.653,8.823
"C46208 W. Moresby",38,7.749,22,6.701,8.977
"C46208 W. Moresby",39,7.702,24,6.707,8.85
"C46208 W. Moresby",40,7.713,24,6.896,8.797
"C46208 W. Moresby",41,7.691,23,6.911,8.794
"C46208 W. Moresby",42,7.732,24,6.925,8.8
"C46208 W. Moresby",43,7.732,24,6.888,8.761
"C46208 W. Moresby",44,7.748,24,6.939,8.765
"C46208 W. Moresby",45,7.68,23,6.854,8.785
"C46208 W. Moresby",46,7.764,23,6.808,8.796
"C46208 W. Moresby",47,7.747,24,6.925,8.774
"C46208 W. Moresby",48,7.74,24,6.851,8.759
"C46208 W. Moresby",49,7.746,23,6.846,8.696
"C46208 W. Moresby",50,7.75,22,6.823,8.723
"C46208 W. Moresby",51,7.8,22,6.915,8.713
"C46208 W. Moresby",52,7.795,23,6.842,9.037
"C46208 W. Moresby",53,7.78,23,6.78,8.914
"C46208 W. Moresby",54,7.7,25,6.718,8.805
"C46208 W. Moresby",55,7.733,24,6.649,8.859
"C46208 W. Moresby",56,7.668,24,6.461,8.825
"C46208 W. Moresby",57,7.664,24,6.536,8.791
"C46208 W. Moresby",58,7.685,24,6.55,8.742
"C46208 W. Moresby",59,7.614,24,6.515,8.719
"C46208 W. Moresby",60,7.573,24,6.473,8.686
"C46208 W. Moresby",61,7.603,24,6.47,8.876
"C46208 W. Moresby",62,7.568,24,6.492,8.72
"C46208 W. Moresby",63,7.59,24,6.448,8.794
"C46208 W. Moresby",64,7.549,24,6.457,8.638
"C46208 W. Moresby",65,7.588,24,6.475,8.763
"C46208 W. Moresby",66,7.584,24,6.524,8.801
"C46208 W. Moresby",67,7.555,24,6.452,8.997
"C46208 W. Moresby",68,7.552,24,6.481,8.976
"C46208 W. Moresby",69,7.537,25,6.472,8.747
"C46208 W. Moresby",70,7.542,25,6.476,8.553
"C46208 W. Moresby",71,7.57,24,6.461,8.676
"C46208 W. Moresby",72,7.631,24,6.468,8.811
"C46208 W. Moresby",73,7.626,24,6.443,8.768
"C46208 W. Moresby",74,7.582,24,6.554,8.775
"C46208 W. Moresby",75,7.552,25,6.505,8.773
"C46208 W. Moresby",76,7.606,23,6.471,9.163
"C46208 W. Moresby",77,7.561,24,6.476,9.013
"C46208 W. Moresby",78,7.554,24,6.634,8.896
"C46208 W. Moresby",79,7.589,24,6.591,8.938
"C46208 W. Moresby",80,7.54,24,6.588,8.895
"C46208 W. Moresby",81,7.572,24,6.561,8.931
"C46208 W. Moresby",82,7.587,22,6.598,9.092
"C46208 W. Moresby",83,7.579,23,6.566,9.005
"C46208 W. Moresby",84,7.643,25,6.678,8.907
"C46208 W. Moresby",85,7.623,24,6.706,8.803
"C46208 W. Moresby",86,7.666,25,6.643,8.717
"C46208 W. Moresby",87,7.69,24,6.697,8.621
"C46208 W. Moresby",88,7.684,24,6.593,8.733
"C46208 W. Moresby",89,7.755,22,6.719,8.777
"C46208 W. Moresby",90,7.737,23,6.733,8.853
"C46208 W. Moresby",91,7.749,24,6.787,9.095
"C46208 W. Moresby",92,7.802,24,6.869,9.236
"C46208 W. Moresby",93,7.817,24,6.992,9.287
"C46208 W. Moresby",94,7.734,25,6.906,9.234
"C46208 W. Moresby",95,7.715,25,6.809,9.121
"C46208 W. Moresby",96,7.708,25,6.786,8.975
"C46208 W. Moresby",97,7.758,26,6.775,8.988
"C46208 W. Moresby",98,7.829,25,6.844,9.119
"C46208 W. Moresby",99,7.856,25,6.89,9.136
"C46208 W. Moresby",100,7.898,26,7.169,9.067
"C46208 W. Moresby",101,7.974,25,7.036,9.083
"C46208 W. Moresby",102,7.935,25,7.146,9.054
"C46208 W. Moresby",103,7.96,25,7.083,9.201
"C46208 W. Moresby",104,8.01,25,7.115,9.352
"C46208 W. Moresby",105,7.986,25,7.069,9.311
"C46208 W. Moresby",106,7.973,25,7.01,9.305
"C46208 W. Moresby",107,7.993,24,6.945,9.228
"C46208 W. Moresby",108,8.014,23,6.903,9.259
"C46208 W. Moresby",109,8.034,25,7.015,9.044
"C46208 W. Moresby",110,8.058,25,7.03,9.026
"C46208 W. Moresby",111,8.142,25,7.059,9.159
"C46208 W. Moresby",112,8.171,24,7.039,9.12
"C46208 W. Moresby",113,8.175,25,7.02,9.099
"C46208 W. Moresby",114,8.204,25,7.14,9.195
"C46208 W. Moresby",115,8.31,26,7.286,9.47
"C46208 W. Moresby",116,8.248,24,7.254,9.348
"C46208 W. Moresby",117,8.28,25,7.236,9.511
"C46208 W. Moresby",118,8.368,25,7.27,9.406
"C46208 W. Moresby",119,8.516,26,7.371,9.74
"C46208 W. Moresby",120,8.402,25,7.294,9.492
"C46208 W. Moresby",121,8.413,25,7.228,9.598
"C46208 W. Moresby",122,8.442,24,7.269,9.474
"C46208 W. Moresby",123,8.455,25,7.322,9.52
"C46208 W. Moresby",124,8.605,25,7.42,9.621
"C46208 W. Moresby",125,8.614,25,7.424,9.672
"C46208 W. Moresby",126,8.616,26,7.301,9.838
"C46208 W. Moresby",127,8.698,25,7.454,9.9
"C46208 W. Moresby",128,8.724,25,7.499,10.018
"C46208 W. Moresby",129,8.818,27,7.573,9.961
"C46208 W. Moresby",130,8.983,27,7.798,9.962
"C46208 W. Moresby",131,9.007,26,7.652,9.987
"C46208 W. Moresby",132,9.008,25,7.67,10.079
"C46208 W. Moresby",133,9.008,25,7.729,10.163
"C46208 W. Moresby",134,9.2,26,7.783,10.363
"C46208 W. Moresby",135,9.274,26,7.9,10.571
"C46208 W. Moresby",136,9.201,26,7.868,10.438
"C46208 W. Moresby",137,9.18,27,7.814,10.268
"C46208 W. Moresby",138,9.281,26,8.163,10.411
"C46208 W. Moresby",139,9.351,26,8.19,10.474
"C46208 W. Moresby",140,9.418,27,8.306,10.457
"C46208 W. Moresby",141,9.363,27,8.19,10.475
"C46208 W. Moresby",142,9.393,24,8.135,10.43
"C46208 W. Moresby",143,9.474,25,8.493,10.699
"C46208 W. Moresby",144,9.497,25,8.585,10.522
"C46208 W. Moresby",145,9.539,26,8.46,10.496
"C46208 W. Moresby",146,9.663,27,8.523,10.729
"C46208 W. Moresby",147,9.809,27,8.579,10.971
"C46208 W. Moresby",148,9.784,27,8.465,10.821
"C46208 W. Moresby",149,9.828,26,8.786,10.989
"C46208 W. Moresby",150,9.963,26,8.704,11.156
"C46208 W. Moresby",151,10.11,27,8.689,11.392
"C46208 W. Moresby",152,10.086,27,8.678,11.428
"C46208 W. Moresby",153,10.18,28,8.865,11.465
"C46208 W. Moresby",154,10.379,28,9.012,11.728
"C46208 W. Moresby",155,10.488,28,9.091,11.911
"C46208 W. Moresby",156,10.499,27,9.158,11.347
"C46208 W. Moresby",157,10.535,27,9.37,11.552
"C46208 W. Moresby",158,10.656,27,9.393,11.651
"C46208 W. Moresby",159,10.624,27,9.075,11.583
"C46208 W. Moresby",160,10.744,28,9.198,11.848
"C46208 W. Moresby",161,10.861,27,9.699,12.185
"C46208 W. Moresby",162,10.86,27,9.706,12.008
"C46208 W. Moresby",163,10.965,27,9.645,12.159
"C46208 W. Moresby",164,10.959,27,9.735,12.405
"C46208 W. Moresby",165,11.151,28,10.044,12.545
"C46208 W. Moresby",166,11.216,28,10.211,12.477
"C46208 W. Moresby",167,11.364,28,10.295,12.584
"C46208 W. Moresby",168,11.449,28,10.1,12.966
"C46208 W. Moresby",169,11.548,27,10.101,12.797
